drug_class_id,drug_class_name,therapeutic_area,mechanism_of_action_summary,clinical_use_scope,complexity_level
DC226,Antipsychotics (Atypical - Quetiapine),Psychiatry,Multiple receptor antagonism,Schizophrenia; Bipolar; Depression augmentation; Insomnia,Medium
DC227,Antipsychotics (Atypical - Aripiprazole),Psychiatry,Partial dopamine agonist; 5-HT2A antagonist,Schizophrenia; Bipolar; Depression augmentation; Tourette's,Medium
DC228,Antipsychotics (Clozapine),Psychiatry,Multiple receptor actions, but unique,Refractory schizophrenia; Suicide risk reduction,High
DC229,Mood Stabilizers (Lithium),Psychiatry,Multiple: inhibition of inositol monophosphatase; GSK3, etc.,Bipolar disorder (mania and maintenance),High
DC230,Mood Stabilizers (Valproate) (see anticonvulsants)
DC231,Mood Stabilizers (Lamotrigine) (see anticonvulsants)
DC232,Mood Stabilizers (Carbamazepine) (see anticonvulsants)
DC233,Anxiolytics (Benzodiazepines),Psychiatry,GABA-A potentiation,Anxiety; Insomnia; Seizures; Alcohol withdrawal,High
DC234,Anxiolytics (Buspirone),Psychiatry,5-HT1A partial agonist,Generalized anxiety disorder,Low
DC235,Hypnotics (Z-drugs),Psychiatry,GABA-A selective agonism,Insomnia,High
DC236,Psychostimulants (Methylphenidate),Psychiatry,Inhibition of dopamine and norepinephrine reuptake,ADHD; Narcolepsy,High
DC237,Psychostimulants (Amphetamines),Psychiatry,Inhibition of reuptake and release of dopamine and norepinephrine,ADHD; Narcolepsy,High
DC238,Non-stimulant ADHD (Atomoxetine),Psychiatry,Selective norepinephrine reuptake inhibition,ADHD,Medium
DC239,Anti-dementia (Cholinesterase inhibitors) (see neurology)
DC240,Anti-dementia (Memantine) (see neurology)
DC241,NSAIDs (Non-selective),Rheumatology,Inhibition of COX-1 and COX-2 reducing prostaglandins,Pain; Inflammation; Fever,Low
DC242,COX-2 Selective Inhibitors,Rheumatology,Selective inhibition of COX-2,Arthritis; Pain; Dysmenorrhea,Medium
DC243,Corticosteroids (Systemic),Rheumatology,Anti-inflammatory and immunosuppressive,Rheumatoid arthritis; SLE; Vasculitis,High
DC244,DMARDs (Methotrexate),Rheumatology,Inhibition of dihydrofolate reductase and other pathways,Rheumatoid arthritis; Psoriatic arthritis; IBD,High
DC245,DMARDs (Leflunomide),Rheumatology,Inhibition of dihydroorotate dehydrogenase,Rheumatoid arthritis; Psoriatic arthritis,High
DC246,DMARDs (Sulfasalazine),Rheumatology,Anti-inflammatory and immunomodulatory,Rheumatoid arthritis; IBD,Medium
DC247,DMARDs (Hydroxychloroquine),Rheumatology,Inhibition of TLR signaling; antigen presentation,Rheumatoid arthritis; SLE; Antiphospholipid,Medium
DC248,Biologic DMARDs (Anti-TNF),Rheumatology,TNF inhibition,Rheumatoid arthritis; Psoriatic arthritis; Ankylosing spondylitis; IBD,High
DC249,Biologic DMARDs (Anti-IL6),Rheumatology,IL-6 receptor blockade,Rheumatoid arthritis; Juvenile idiopathic arthritis,High
DC250,Biologic DMARDs (Anti-CD20) (Rituximab),Rheumatology,B-cell depletion,Rheumatoid arthritis; ANCA vasculitis; SLE,High
DC251,Biologic DMARDs (Abatacept),Rheumatology,CTLA-4 fusion protein inhibiting T-cell activation,Rheumatoid arthritis; Psoriatic arthritis,High
DC252,Biologic DMARDs (Anti-IL1),Rheumatology,IL-1 inhibition,Cryopyrin-associated periodic syndromes; RA; Still's,High
DC253,JAK Inhibitors (Tofacitinib, Baricitinib),Rheumatology,JAK inhibition,Rheumatoid arthritis; Psoriatic arthritis; Ulcerative colitis,High
DC254,Uricosurics (Probenecid),Rheumatology,Inhibition of renal urate reabsorption,Gout,Medium
DC255,Xanthine Oxidase Inhibitors (Allopurinol),Rheumatology,Inhibition of xanthine oxidase reducing urate,Gout; Tumor lysis syndrome,Low
DC256,Xanthine Oxidase Inhibitors (Febuxostat),Rheumatology,Selective inhibition of xanthine oxidase,Gout,Medium
DC257,Colchicine,Rheumatology,Inhibition of microtubule polymerization reducing inflammation,Gout; Familial Mediterranean fever,High
DC258,Anti-glaucoma (Prostaglandin Analogs),Ophthalmology,Increase uveoscleral outflow,Open-angle glaucoma; Ocular hypertension,Low
DC259,Anti-glaucoma (Beta-blockers),Ophthalmology,Reduction of aqueous humor production,Glaucoma,Low
DC260,Anti-glaucoma (Alpha-2 Agonists),Ophthalmology,Reduction of aqueous production and increase outflow,Glaucoma; Ocular hypertension,Low
DC261,Anti-glaucoma (Carbonic Anhydrase Inhibitors),Ophthalmology,Inhibition of aqueous humor production,Glaucoma,Low
DC262,Anti-glaucoma (Rho Kinase Inhibitors),Ophthalmology,Increase outflow via trabecular meshwork,Glaucoma,Medium
DC263,Mydriatics/Cycloplegics,Ophthalmology,Anticholinergic or alpha-adrenergic causing dilation,Examination; Uveitis,Low
DC264,Ocular Anti-inflammatories (Corticosteroids),Ophthalmology,Anti-inflammatory,Ocular inflammation; Post-op,Low
DC265,Ocular Anti-inflammatories (NSAIDs),Ophthalmology,COX inhibition,Allergic conjunctivitis; Post-op inflammation,Low
DC266,Ocular Anti-infectives (Antibiotics),Ophthalmology,Bacterial killing,Bacterial conjunctivitis; Keratitis,Low
DC267,Ocular Anti-infectives (Antivirals),Ophthalmology,Viral DNA polymerase inhibition,Herpetic keratitis,Medium
DC268,Ocular Anti-allergy (Mast cell stabilizers, Antihistamines),Ophthalmology,Mast cell stabilization; H1 antagonism,Allergic conjunctivitis,Low
DC269,Ocular Lubricants,Ophthalmology,Lubrication and stabilization of tear film,Dry eye,Low
DC270,Ocular Immunomodulators (Cyclosporine),Ophthalmology,Inhibition of T-cell activation,Keratoconjunctivitis sicca; Uveitis,Medium
DC271,Ocular VEGF Inhibitors (Ranibizumab),Ophthalmology,VEGF inhibition,Wet AMD; Diabetic macular edema; RVO,High
DC272,Ocular VEGF Inhibitors (Aflibercept),Ophthalmology,VEGF inhibition,Wet AMD; DME; RVO,High
DC273,Anti-VEGF (Bevacizumab off-label),Ophthalmology,VEGF inhibition,Retinal diseases,High
DC274,Erythropoiesis-Stimulating Agents (EPO),Nephrology,Activation of erythropoietin receptor,Anemia in CKD; Chemotherapy-induced anemia,Medium
DC275,Phosphate Binders (Calcium-based),Nephrology,Binding phosphate in gut,Hyperphosphatemia in CKD,Low
DC276,Phosphate Binders (Sevelamer),Nephrology,Binding phosphate,Hyperphosphatemia in CKD,Medium
DC277,Phosphate Binders (Lanthanum),Nephrology,Binding phosphate,Hyperphosphatemia in CKD,Medium
DC277,Vitamin D Analogs (Calcitriol),Nephrology,Activation of vitamin D receptor,Secondary hyperparathyroidism in CKD,Medium
DC278,Calcimimetics (Cinacalcet),Nephrology,Activation of calcium-sensing receptor,Secondary hyperparathyroidism; Hypercalcemia,High
DC279,Anticoagulation for Dialysis (Heparin),Nephrology,Activation of antithrombin,Prevention of clotting during hemodialysis,Low
DC280,Anticoagulation (Citrate),Nephrology,Chelation of calcium inhibiting coagulation,Regional anticoagulation in CRRT,High
DC281,Immunosuppressants (Calcineurin Inhibitors),Nephrology,Inhibition of calcineurin reducing T-cell activation,Solid organ transplant; Autoimmune,High
DC282,Immunosuppressants (Mycophenolate),Nephrology,Inhibition of IMPDH reducing lymphocyte proliferation,Transplant; Autoimmune,High
DC283,Immunosuppressants (Sirolimus),Nephrology,mTOR inhibition,Transplant; Autoimmune,High
DC284,Immunosuppressants (Azathioprine) (see Gastroenterology)
DC285,Immunosuppressants (Cyclophosphamide) (see Oncology)
DC286,Antihistamines (H1 - Sedating),Allergy and Immunology,Inverse agonist at H1 receptor,Allergic rhinitis; Urticaria; Pruritus,Low
DC287,Antihistamines (H1 - Non-sedating),Allergy and Immunology,Inverse agonist at H1 receptor (peripheral selective),Allergic rhinitis; Urticaria,Low
DC288,Leukotriene Receptor Antagonists (see Pulmonology)
DC289,Cromolyn (see Pulmonology)
DC290,Epinephrine (Auto-injector),Allergy and Immunology,Alpha and beta adrenergic agonist,Anaphylaxis; Severe allergic reaction,High
DC291,Immunotherapy (Allergen extracts),Allergy and Immunology,Induction of immune tolerance to allergen,Allergic rhinitis; Asthma; Venom allergy,High
DC292,Omalizumab (Anti-IgE) (see Pulmonology)
DC293,Dupilumab (Anti-IL4R) (see Pulmonology)
DC294,Alpha-blockers (Tamsulosin),Urology,Selective alpha-1A adrenergic blockade,BPH; Ureteral stones,Low
DC295,5-alpha Reductase Inhibitors (Finasteride),Urology,Inhibition of 5-alpha reductase reducing DHT,BPH; Male pattern baldness,Low
DC296,PDE5 Inhibitors (Sildenafil),Urology,Inhibition of PDE5 increasing cGMP,Erectile dysfunction; PAH,Medium
DC297,Anticholinergics for OAB (Oxybutynin),Urology,Muscarinic receptor blockade,Overactive bladder; Urinary incontinence,Low
DC298,Beta-3 Agonists (Mirabegron),Urology,Activation of beta-3 adrenergic receptors relaxing detrusor,Overactive bladder,Medium
DC299,Alpha-agonists (Midodrine),Urology,Alpha-1 adrenergic agonist,Orthostatic hypotension,Medium
DC300,Desmopressin,Urology,V2 receptor agonist increasing water reabsorption,Nocturnal enuresis; Diabetes insipidus,MediumDC312,Combination Inhaled Corticosteroid/LABA (Fixed-dose),Pulmonology,Glucocorticoid receptor activation + beta-2 adrenergic agonism,Asthma; COPD maintenance,Medium
DC312,Combination Inhaled Corticosteroid/LABA (Fixed-dose),Pulmonology,Glucocorticoid receptor activation + beta-2 adrenergic agonism,Asthma; COPD maintenance,Medium
DC313,Combination LAMA/LABA (Fixed-dose),Pulmonology,M3 muscarinic antagonism + beta-2 agonism,COPD maintenance,Medium
DC314,Combination SABA/SAMA (Fixed-dose),Pulmonology,Beta-2 agonism + muscarinic antagonism,Acute asthma/COPD exacerbation,Low
DC315,CGRP Monoclonal Antibodies (Preventive),Neurology,Neutralization of CGRP or its receptor,Migraine prevention,High
DC316,Anti-CGRP Gepants (Acute),Neurology,CGRP receptor antagonism,Acute migraine treatment,Medium
DC317,Anti-CGRP Gepants (Preventive),Neurology,CGRP receptor antagonism,Migraine prevention,Medium
DC318,Ditans (5-HT1F agonists),Neurology,5-HT1F receptor agonism without vasoconstriction,Acute migraine treatment,Medium
DC319,Selective Estrogen Receptor Degraders (SERDs),Oncology,Estrogen receptor antagonism and degradation,Breast cancer (HR+),High
DC320,Antibody-Drug Conjugates (HER2-targeted),Oncology,Targeted delivery of cytotoxic agent to HER2+ cells,HER2+ breast cancer,High
DC321,KRAS G12C Inhibitors,Oncology,Inhibition of mutant KRAS G12C,KRAS G12C-mutated NSCLC; CRC,High
DC322,CFTR Modulators (Potentiators),Pulmonology,Enhance CFTR channel function,Cystic fibrosis (specific mutations),High
DC323,CFTR Modulators (Correctors),Pulmonology,Improve CFTR processing,CF,High
DC324,CFTR Modulators (Amplifiers),Pulmonology,Increase CFTR production,CF,High
DC325,Antisense Oligonucleotides,Neurology,Modify RNA splicing or degradation,Spinal muscular atrophy; Duchenne; Huntington's,High
DC326,Gene Therapies,Neurology; Hematology; Ophthalmology,Replace or edit defective gene,Inherited retinal diseases; SMA; hemophilia,High
