guideline_id,disease_name,recommended_drug_class,line_of_treatment,decision_factors,contraindications_summary
G189,Endometrial Cancer (Advanced),Carboplatin + Paclitaxel,1st Line,"Stage III-IV, serous/clear cell",Neuropathy; myelosuppression
G190,Cervical Cancer (Recurrent/Metastatic),Platinum + Paclitaxel + Bevacizumab,1st Line,"PD-L1 positive or negative",Fistula risk; hypertension; bleeding
G191,Testicular Cancer (Seminoma, Stage I),Carboplatin (adjuvant) or Surveillance,1st Line,"Low risk: surveillance; high risk: adjuvant carboplatin",Myelosuppression; second malignancy risk
G192,Testicular Cancer (Non-seminoma, Stage I),BEP (Bleomycin + Etoposide + Cisplatin) or Surveillance,1st Line,"High risk: adjuvant BEP; low risk: surveillance",Pulmonary toxicity; ototoxicity; nephrotoxicity
G193,Testicular Cancer (Advanced),BEP,1st Line,"Good prognosis",As above
G194,Thyroid Cancer (Differentiated, Metastatic),Tyrosine Kinase Inhibitors (Lenvatinib, Sorafenib),1st Line (if RAI-refractory and progressive),"RAI-refractory, progressive disease",Hypertension; proteinuria; fatigue; diarrhea
G195,Thyroid Cancer (Medullary),Vandetanib or Cabozantinib,1st Line (if metastatic and progressive),"RET mutation or advanced",QT prolongation; diarrhea; hypertension
G196,Sarcoidosis (Pulmonary),Corticosteroids (Oral),1st Line (if symptomatic or progressive),"Stage II/III with dyspnea, declining lung function",Diabetes; osteoporosis; infection
G197,Sarcoidosis (Cutaneous),Topical or Intralesional Corticosteroids,1st Line,"Localized skin lesions",Skin atrophy
G198,Sarcoidosis (Refractory),Methotrexate or Azathioprine,2nd Line,"Failure of steroids, need steroid-sparing",Hepatotoxicity; myelosuppression
G199,Idiopathic Pulmonary Fibrosis,Antifibrotics (Pirfenidone or Nintedanib),1st Line,"All patients with IPF, FVC 50-80%, DLCO >30%",GI intolerance; photosensitivity; hepatotoxicity
G200,Idiopathic Pulmonary Fibrosis,Antifibrotics (Nintedanib),1st Line,"As above",Diarrhea; nausea; hepatotoxicity
G201,Pulmonary Arterial Hypertension (Group 1),Endothelin Receptor Antagonists (Ambrisentan),1st Line (WHO FC II-III),"Treatment-naive, no liver impairment",Hepatotoxicity; edema; teratogenicity
G202,Pulmonary Arterial Hypertension (Group 1),PDE5 Inhibitors (Sildenafil),1st Line (WHO FC II-III),"As above",Visual disturbances; hypotension; interaction with nitrates
G203,Pulmonary Arterial Hypertension (Group 1),Prostacyclin Analogs (Epoprostenol),1st Line (WHO FC IV),"Severe, rapidly progressive",Infusion-related; thrombocytopenia; jaw pain
G204,Pulmonary Arterial Hypertension (Group 1),Combination Therapy (Ambrisentan + Tadalafil),1st Line (initial combination),"WHO FC II-III, no contraindications",As above
G205,Acne Vulgaris (Mild),Topical Retinoids (Tretinoin),1st Line,"Comedonal acne",Irritation; photosensitivity
G206,Acne Vulgaris (Mild-Moderate),Topical Antibiotics (Clindamycin) + Benzoyl Peroxide,1st Line,"Inflammatory acne",Skin dryness; bleaching; bacterial resistance if monotherapy
G207,Acne Vulgaris (Moderate-Severe),Oral Antibiotics (Doxycycline) + Topical Agents,1st Line,"Extensive inflammatory acne",Photosensitivity; GI upset; candidiasis
G208,Acne Vulgaris (Severe, Nodulocystic),Oral Isotretinoin,1st Line (if resistant),"Severe, scarring, treatment-resistant",Teratogenicity; mood changes; dry skin; lipid elevation
G209,Rosacea (Papulopustular),Topical Metronidazole or Azelaic Acid,1st Line,"Mild-moderate",Irritation; allergic reaction
G210,Rosacea (Erythematotelangiectatic),Brimonidine Gel (topical),1st Line,"Persistent facial erythema",Worsening erythema; allergic contact
G211,Rosacea (Severe),Oral Doxycycline (subantimicrobial),2nd Line,"Moderate-severe",As above
G212,Urticaria (Chronic Spontaneous),Non-sedating Antihistamines (high dose),1st Line,"All patients",Sedation (if high dose)
G213,Urticaria (Chronic Spontaneous),Omalizumab (Anti-IgE),2nd Line,"Refractory to antihistamines",Anaphylaxis risk; injection site reactions
G214,Urticaria (Chronic Spontaneous),Cyclosporine,3rd Line,"Refractory to antihistamines and omalizumab",Renal impairment; hypertension; infection
G215,Allergic Rhinitis (Moderate-Severe),Intranasal Corticosteroids,1st Line,"All patients with persistent symptoms",Epistaxis; septal perforation (rare)
G216,Allergic Rhinitis (Moderate-Severe),Oral Antihistamines (non-sedating),1st Line (mild intermittent),"As needed for symptoms",Sedation (cetirizine); dry mouth
G217,Allergic Rhinitis (Severe),Sublingual Immunotherapy (SLIT),2nd Line,"Persistent despite pharmacotherapy, allergen-specific",Local reactions; anaphylaxis risk (rare)
G218,Anaphylaxis (Acute),Epinephrine (IM),1st Line,"First-line, immediate",Arrhythmias; hypertension; tissue necrosis if IM incorrectly
G219,Anaphylaxis (Acute),Antihistamines + Corticosteroids,Adjunctive,"After epinephrine, for symptom relief",Delay in epinephrine use
G220,Drug Allergy (Penicillin),Avoidance,1st Line,"History of immediate hypersensitivity",Alternative antibiotics; cross-reactivity with cephalosporins (low)
G221,Drug Allergy (Penicillin),Penicillin Desensitization,Procedure,"If penicillin is essential (e.g., syphilis in pregnancy)",Performed in hospital
G222,Hypothyroidism (Subclinical),Levothyroxine,1st Line (if TSH >10 or symptomatic),"TSH >10 or positive TPO antibodies with TSH >4-5",As above
G223,Hyperthyroidism (Subclinical),Antithyroid Drugs or RAI,1st Line (if TSH <0.1),"TSH <0.1 especially if elderly, AF, osteoporosis",As per treatment chosen
G224,Osteopenia,Bisphosphonates,1st Line (if high fracture risk),"FRAX score >20% major fracture or >3% hip fracture",As above
G225,Osteopenia,Calcium + Vitamin D,1st Line (all patients),"Adequate intake",Hypercalcemia (if excess)
G226,Gastroenteritis (Viral),Oral Rehydration,1st Line,"Mild-moderate dehydration",None
G227,Gastroenteritis (Bacterial),Antibiotics (guided by culture),2nd Line,"Severe, invasive, immunocompromised",As per antibiotic
G228,Cellulitis,Antibiotics (Cephalexin),1st Line,"Mild, no systemic signs",Penicillin allergy; caution if MRSA risk
G229,Cellulitis (Severe),IV Antibiotics (Cefazolin or Clindamycin),1st Line (inpatient),"Systemic signs, rapid progression",Allergy
G230,Pneumonia (Aspiration),Antibiotics (Ampicillin-sulbactam or Clindamycin),1st Line,"Community-acquired aspiration",Clindamycin C. diff risk
G231,UTI (Uncomplicated),Antibiotics (Nitrofurantoin),1st Line,"Cystitis, non-pregnant women",Renal impairment (eGFR<30); pulmonary toxicity
G232,UTI (Uncomplicated),Antibiotics (Trimethoprim-sulfamethoxazole),1st Line (alternative),"Local resistance <20%",Sulfa allergy; renal impairment; G6PD
G233,UTI (Pyelonephritis),Antibiotics (Fluoroquinolones) or IV Ceftriaxone,1st Line,"Moderate-severe, outpatient if stable",Resistance; QT prolongation
G234,Prostatitis (Acute Bacterial),Antibiotics (Fluoroquinolones),1st Line,"Coverage for Gram-negatives",As above
G235,Prostatitis (Chronic Bacterial),Antibiotics (Fluoroquinolones for 4-6 weeks),1st Line,"Bacterial isolation",As above
G236,BPH with Acute Urinary Retention,Alpha-blockers + Catheterization,1st Line,"Immediate relief",Hypotension; dizziness
G237,Erectile Dysfunction (Post-radical prostatectomy),PDE5 Inhibitors (daily),1st Line,"Penile rehabilitation",Contraindicated with nitrates
G238,Peyronie's Disease,Collagenase Clostridium histolyticum (Xiaflex),1st Line (if curvature >30°),"Plaque palpable, curvature stable",Peyronie's with ventral plaque; coagulation disorders
G239,Interstitial Cystitis,Multimodal therapy (pentosan polysulfate, amitriptyline, hydroxyzine),1st Line,"Diagnosis of IC/BPS",Pentosan: bleeding risk; amitriptyline: anticholinergic
G240,Nephrolithiasis (Calcium stones),Thiazide Diuretics,1st Line (prevention),"Hypercalciuria",Hypokalemia; hyperuricemia
G241,Nephrolithiasis (Uric acid stones),Allopurinol,1st Line (prevention),"Hyperuricosuria, uric acid stones",Hypersensitivity
G242,Acute Kidney Injury (Prerenal),IV Fluids,1st Line,"Volume depletion",Fluid overload; pulmonary edema
G243,Acute Kidney Injury (Intrinsic),Supportive care + treat underlying cause,1st Line,"ATN, interstitial nephritis, etc.",Avoid nephrotoxins
G244,Chronic Kidney Disease (Mineral Bone Disorder),Calcitriol,1st Line,"Low 1,25(OH)2D, elevated PTH",Hypercalcemia; hyperphosphatemia
G245,Chronic Kidney Disease (Anemia),IV Iron,1st Line (if iron deficiency),"Ferritin <200, TSAT <20%",Hypersensitivity; anaphylaxis (rare)
G246,Diabetic Nephropathy,ACE Inhibitors,1st Line,"All diabetics with albuminuria or HTN",As above
G247,Hypertensive Nephrosclerosis,Control BP (ACEi/ARB, CCB),1st Line,"Aggressive BP control",As per drug
G248,Glomerulonephritis (IgA Nephropathy),ACE Inhibitors/ARBs,1st Line,"Proteinuria >1g/day",As above
G249,Glomerulonephritis (IgA Nephropathy with crescents),Corticosteroids + Cyclophosphamide,Induction,"Rapidly progressive",Infection risk; myelosuppression
G250,Membranous Nephropathy,Immunosuppression (Rituximab or Cyclophosphamide + steroids),1st Line (high risk),"High risk of progression",As per drug
G501,Long QT Syndrome Type 1,Beta-Blockers (Non-selective),1st Line,"All symptomatic patients; asymptomatic with QTc>470 ms (men) or >480 ms (women)",Asthma; Bradycardia; Decompensated heart failure
G502,Long QT Syndrome Type 1,Implantable Cardioverter-Defibrillator (ICD),2nd Line,"Prior cardiac arrest, syncope on beta-blocker, very long QTc",Inability to implant; poor prognosis
G503,Long QT Syndrome Type 2,Beta-Blockers (Non-selective),1st Line,"All symptomatic; consider in asymptomatic with significant QT prolongation",As above
G504,Long QT Syndrome Type 2,ICD,2nd Line,"Prior arrest, recurrent syncope, QTc>500 ms on therapy",As above
G505,Long QT Syndrome Type 3,Na Channel Blockers (Mexiletine) + Beta-Blockers,1st Line,"Consider in addition to beta-blockers for QT shortening",Conduction disease; renal/hepatic impairment
G506,Long QT Syndrome Type 3,ICD,2nd Line,"High-risk features, prior arrest",As above
G507,Catecholaminergic Polymorphic VT,Beta-Blockers (Non-selective),1st Line,"All patients with CPVT",Asthma; bradycardia
G508,Catecholaminergic Polymorphic VT,Flecainide,2nd Line,"Inadequate control with beta-blockers",Structural heart disease; ventricular tachycardia
G509,Catecholaminergic Polymorphic VT,ICD,3rd Line,"Cardiac arrest, recurrent syncope despite optimal therapy",As above
G510,Brugada Syndrome,Quinidine,1st Line,"Patients with arrhythmia storms or high risk",QT prolongation; thrombocytopenia
G511,Brugada Syndrome,ICD,1st Line,"Prior cardiac arrest, syncope with spontaneous type 1 ECG",As above
G512,Arrhythmogenic Right Ventricular Cardiomyopathy,Beta-Blockers,1st Line,"All patients with ARVC",As above
G513,Arrhythmogenic Right Ventricular Cardiomyopathy,ICD,2nd Line,"Prior cardiac arrest, sustained VT, severe RV dysfunction",As above
G514,Arrhythmogenic Right Ventricular Cardiomyopathy,Antiarrhythmics (Amiodarone or Sotalol),2nd Line,"Recurrent VT despite beta-blockers, not ICD candidates",Pulmonary; thyroid; hepatic toxicity
G515,Left Ventricular Noncompaction,ACE Inhibitors,1st Line,"Heart failure symptoms or LV dysfunction",Angioedema; pregnancy; bilateral renal artery stenosis
G516,Left Ventricular Noncompaction,Anticoagulation,1st Line,"LV thrombus, atrial fibrillation, or LVEF<40%",Active bleeding; bleeding risk
G517,Left Ventricular Noncompaction,ICD,2nd Line,"Sustained VT or aborted SCD",As above
G518,Restrictive Cardiomyopathy (Idiopathic),Diuretics (Loop),1st Line,"Volume overload",Hypotension; electrolyte imbalance
G519,Restrictive Cardiomyopathy (Idiopathic),ACE Inhibitors,1st Line,"If evidence of heart failure and tolerated",As above
G520,Restrictive Cardiomyopathy (Idiopathic),Anticoagulation,2nd Line,"Atrial fibrillation or prior embolic event",Bleeding risk
G521,Cardiac Amyloidosis (ATTR wild-type),Tafamidis,1st Line,"NYHA I-II symptoms, without severe heart failure",Pregnancy; hypersensitivity
G522,Cardiac Amyloidosis (ATTR wild-type),Diuretics,Supportive,"Volume overload",As diuretics
G523,Cardiac Amyloidosis (ATTR hereditary),Tafamidis or Patisiran,1st Line,"As above; genetic testing",Pregnancy; severe neuropathy
G524,Cardiac Amyloidosis (AL),Chemotherapy (Daratumumab, CyBorD),1st Line,"Treat underlying plasma cell dyscrasia",Infection; cytopenias; cardiac toxicity
G525,Fabry Disease (Cardiac variant),Enzyme Replacement Therapy (Agalsidase),1st Line,"Confirmed Fabry, any sign of organ involvement",Infusion reactions; pregnancy; severe renal impairment
G526,Fabry Disease (Cardiac variant),Oral Chaperone (Migalastat),1st Line (if amenable mutation),"As above, with amenable GLA mutation",Pregnancy; renal impairment
G527,Danon Disease,Supportive care,1st Line,"No specific therapy; manage heart failure, arrhythmias",None
G528,Danon Disease,Heart Transplantation,2nd Line,"End-stage heart failure",Surgical risks; recurrence risk
G529,Pompe Disease (Late-onset),Enzyme Replacement Therapy (Alglucosidase alfa),1st Line,"All patients with symptomatic Pompe",Infusion reactions; cardiac arrhythmias; pregnancy
G530,Kawasaki Disease (Acute),IVIG,1st Line,"High-dose within 10 days of fever onset",Anaphylaxis (IgA deficiency); heart failure
G531,Kawasaki Disease (Acute),Aspirin (High-dose),1st Line,"Anti-inflammatory dose during acute phase",Reye's; bleeding; aspirin allergy
G532,Kawasaki Disease (Convalescent),Aspirin (Low-dose),Maintenance,"After fever resolves, until coronary aneurysms regress",As above
G533,Acute Rheumatic Fever (Carditis),Penicillin,1st Line,"Eradicate group A strep",Penicillin allergy (use erythromycin)
G534,Acute Rheumatic Fever (Carditis),Aspirin or NSAIDs,1st Line,"Symptomatic arthritis or mild carditis",GI bleeding; renal impairment
G535,Acute Rheumatic Fever (Carditis),Corticosteroids,2nd Line,"Severe carditis with heart failure",Infection; diabetes
G536,Acute Rheumatic Fever (Secondary prophylaxis),Penicillin (Benzathine),Maintenance,"Prevent recurrence; duration depends on severity",As above
G537,Infective Endocarditis (Right-sided),Antibiotics (Anti-staphylococcal),1st Line,"Nafcillin or oxacillin for MSSA; vancomycin for MRSA",Allergy; renal toxicity
G538,Infective Endocarditis (Right-sided),Surgery,2nd Line,"Failed antibiotics, large vegetations, recurrent emboli",Surgical risk
G539,Nonbacterial Thrombotic Endocarditis,Anticoagulation (Heparin then warfarin),1st Line,"Treat underlying condition; anticoagulate for emboli",Bleeding; heparin-induced thrombocytopenia
G540,Carcinoid Heart Disease,Somatostatin Analogs (Octreotide),1st Line,"Control carcinoid syndrome; may slow progression",Gallstones; bradycardia; glucose abnormalities
G541,Carcinoid Heart Disease,Valve Surgery,2nd Line,"Severe symptomatic valve dysfunction",Surgical risk; carcinoid crisis
G542,Cardiac Tumors (Myxoma),Surgical Resection,1st Line,"All symptomatic or >1 cm to prevent emboli",Surgical risk; recurrence
G543,Cardiac Tumors (Sarcoma),Surgery + Chemotherapy,1st Line,"Complete resection if possible; adjuvant chemo",Cardiac toxicity; bleeding
G544,Pericarditis (Constrictive),Diuretics,1st Line,"Symptom relief",Hypotension; electrolyte imbalance
G545,Pericarditis (Constrictive),Pericardiectomy,2nd Line,"Refractory symptoms, severe constriction",Surgical risk
G546,Pericardial Effusion (Malignant),Pericardiocentesis,1st Line,"Tamponade, symptomatic",Bleeding; recurrence
G547,Pericardial Effusion (Malignant),Intrapericardial Sclerotherapy,2nd Line,"Recurrent effusion",Pain; infection
G548,Myocarditis (Giant Cell),Immunosuppression (Cyclosporine + Steroids),1st Line,"Biopsy-proven, hemodynamically unstable",Infection; renal toxicity; hypertension
G549,Myocarditis (Giant Cell),Mechanical Support (LVAD),2nd Line,"Bridge to recovery or transplant",Device complications; thrombosis
G550,Myocarditis (Eosinophilic),Corticosteroids,1st Line,"High-dose for hypersensitivity",Infection; diabetes
G551,Myocarditis (Eosinophilic),Treat underlying cause,1st Line,"Discontinue culprit drug; treat parasite",As indicated
G552,Chagas Cardiomyopathy,Antiparasitic (Benznidazole),1st Line,"Acute or early chronic phase; not in advanced",Peripheral neuropathy; rash; GI
G553,Chagas Cardiomyopathy,ACE Inhibitors + Beta-Blockers,1st Line,"Heart failure management",As above
G554,Chagas Cardiomyopathy,Anticoagulation,2nd Line,"Atrial fibrillation, prior emboli, apical thrombus",Bleeding risk
G555,HIV-associated Cardiomyopathy,Heart failure drugs (ACEi, BB, diuretics),1st Line,"Standard heart failure therapy",As per drugs
G556,HIV-associated Cardiomyopathy,Antiretroviral Therapy,1st Line,"Treat HIV to reduce myocardial damage",Adherence; drug interactions
G557,Peripartum Cardiomyopathy,Bromocriptine,1st Line (in addition to HF therapy),"Within 1 month postpartum, severe LV dysfunction",Thrombosis risk; pregnancy; lactation
G558,Peripartum Cardiomyopathy,Standard HF therapy (ACEi, BB, diuretics),1st Line,"All patients",Avoid ACEi during pregnancy (use hydralazine/nitrates)
G559,Peripartum Cardiomyopathy,Anticoagulation,2nd Line,"Severe LV dysfunction (LVEF<30%) for thrombosis prevention",Bleeding risk
G560,Stress Cardiomyopathy (Takotsubo),Supportive care (ACEi, BB, diuretics),1st Line,"Treat heart failure; remove stressor",As above
G561,Stress Cardiomyopathy (Takotsubo),Avoid inotropes,1st Line,"May cause obstruction",None
G562,Coronary Vasospasm (Prinzmetal Angina),Calcium Channel Blockers (Non-dihydropyridine),1st Line,"Prevent vasospasm",Bradycardia; heart block; constipation
G563,Coronary Vasospasm (Prinzmetal Angina),Nitrates (Long-acting),2nd Line,"Add-on if needed",Headache; tolerance; hypotension
G564,Myocardial Bridging,Beta-Blockers,1st Line,"Reduce heart rate and contractility",Bradycardia; heart block; asthma
G565,Myocardial Bridging,Calcium Channel Blockers,2nd Line,"Alternative if beta-blockers not tolerated",As above
G566,Anomalous Coronary Artery,Surgical Unroofing,1st Line,"High-risk anatomy, ischemia, symptoms",Surgical risk
G567,Anomalous Coronary Artery,Medical management (beta-blockers),2nd Line,"Low-risk, asymptomatic",As above
G568,Spontaneous Coronary Artery Dissection,Conservative management,1st Line,"Stable patient, no ongoing ischemia",Observation
G569,Spontaneous Coronary Artery Dissection,PCI or CABG,2nd Line,"Ongoing ischemia, hemodynamic instability",Procedure complications
G570,Coronary Artery Fistula,Transcatheter Closure,1st Line,"Large fistula, symptoms, complications",Embolization; MI; arrhythmias
G571,Coronary Artery Fistula,Observation,1st Line,"Small asymptomatic fistula",None
G572,Kounis Syndrome,Epinephrine (with caution),1st Line,"Anaphylaxis with coronary spasm",May worsen ischemia; use judiciously
G573,Kounis Syndrome,Nitrates + Antihistamines + Corticosteroids,1st Line,"Treat allergy and vasospasm",Hypotension
G574,Hypertensive Emergency,IV Antihypertensives (Nicardipine, Labetalol),1st Line,"Rapid BP reduction (not too rapid) in ICU",Bradycardia; heart block; excessive hypotension
G575,Hypertensive Emergency,Goal BP reduction,1st Line,"Reduce by 25% in first hour, then to 160/100 over next 2-6h",None
G576,Hypertensive Urgency,Oral Antihypertensives,1st Line,"Gradual reduction over 24-48h, outpatient follow-up",As per drug
G577,Pulmonary Hypertension (Group 1 - PAH),Endothelin Receptor Antagonists (Ambrisentan),1st Line (WHO FC II-III),"Treatment-naive, no liver impairment",Hepatotoxicity; edema; teratogenicity
G578,Pulmonary Hypertension (Group 1 - PAH),PDE5 Inhibitors (Sildenafil),1st Line (WHO FC II-III),"As above",Visual disturbances; hypotension; interaction with nitrates
G579,Pulmonary Hypertension (Group 1 - PAH),Prostacyclin Analogs (Epoprostenol),1st Line (WHO FC IV),"Severe, rapidly progressive",Infusion-related; thrombocytopenia; jaw pain
G580,Pulmonary Hypertension (Group 1 - PAH),Combination Therapy (Ambrisentan + Tadalafil),1st Line (initial combination),"WHO FC II-III, no contraindications",As above
G581,Pulmonary Hypertension (Group 2 - Left Heart),Treat underlying heart failure,1st Line,"Optimize HF therapy",None
G582,Pulmonary Hypertension (Group 2 - Left Heart),Avoid PAH-specific therapies (except for trials),1st Line,"May cause pulmonary edema",None
G583,Pulmonary Hypertension (Group 3 - Lung Disease),Treat underlying lung disease (O2, bronchodilators),1st Line,"Optimize COPD/ILD management",None
G584,Pulmonary Hypertension (Group 3 - Lung Disease),Consider PDE5i in selected cases,2nd Line,"After expert referral, hypoxemia improvement uncertain",Hypotension
G585,Pulmonary Hypertension (Group 4 - CTEPH),Pulmonary Endarterectomy,1st Line,"Surgically accessible disease",Surgical risk; residual PH
G586,Pulmonary Hypertension (Group 4 - CTEPH),Riociguat,2nd Line,"Inoperable or persistent/recurrent PH after PEA",Hypotension; bleeding; hemoptysis
G587,Pulmonary Hypertension (Group 5 - Miscellaneous),Treat underlying condition,1st Line,"Sarcoid, vasculitis, etc.",None
G588,Acute Pulmonary Embolism (Massive),Thrombolytics (tPA),1st Line,"Shock or hypotension",Active bleeding; recent surgery; stroke
G589,Acute Pulmonary Embolism (Massive),Surgical Embolectomy,2nd Line,"Contraindication to or failure of thrombolytics",Surgical risk
G590,Acute Pulmonary Embolism (Submassive),Anticoagulation (Heparin then DOAC),1st Line,"All patients without contraindications",Bleeding risk
G591,Acute Pulmonary Embolism (Submassive),Thrombolytics,2nd Line,"High-risk submassive (RV dysfunction, biomarkers), low bleeding risk",As above
G592,Chronic Thromboembolic Disease,Anticoagulation,1st Line,"Indefinite anticoagulation",Bleeding
G593,Superior Vena Cava Syndrome,Radiation or Chemotherapy,1st Line,"Treat underlying malignancy (lung cancer, lymphoma)",Toxicity
G594,Superior Vena Cava Syndrome,Stenting,2nd Line,"Recurrent or refractory SVCS, especially if thrombus",Stent thrombosis; migration
G595,Aortic Aneurysm (Thoracic),Beta-Blockers,1st Line,"Reduce aortic wall stress",Bradycardia; asthma
G596,Aortic Aneurysm (Thoracic),Surgical Repair,2nd Line,"Diameter >5.5cm, rapid growth, symptoms",Surgical risk
G597,Aortic Aneurysm (Abdominal),Smoking Cessation,1st Line,"All patients to slow growth",None
G598,Aortic Aneurysm (Abdominal),Surgical/Endovascular Repair,2nd Line,"Diameter >5.5cm (men) or >5.0cm (women), rapid growth, symptoms",Procedure complications
G599,Aortic Dissection (Type A),Emergency Surgery,1st Line,"Immediate surgical repair",Surgical mortality
G600,Aortic Dissection (Type A),Intensive BP control (IV beta-blockers, nitroprusside),Pre-op,"Stabilize patient before surgery",Hypotension; bradycardia
G601,Aortic Dissection (Type B),Medical Management (BP control),1st Line,"Uncomplicated, with anti-impulse therapy (beta-blockers)",As above
G602,Aortic Dissection (Type B),TEVAR (Thoracic Endovascular Aortic Repair),2nd Line,"Complicated (rupture, malperfusion, refractory pain)",Endoleak; stroke; spinal cord ischemia
G603,Intramural Hematoma,Medical Management (BP control),1st Line,"Uncomplicated",As above
G604,Intramural Hematoma,TEVAR,2nd Line,"Progression, complications",As above
G605,Penetrating Aortic Ulcer,Medical Management (BP control),1st Line,"Asymptomatic, small",As above
G606,Penetrating Aortic Ulcer,TEVAR,2nd Line,"Large, symptomatic, rapid progression",As above
G607,Marfan Syndrome (Aortic),Beta-Blockers,1st Line,"All patients to slow aortic root dilation",As above
G608,Marfan Syndrome (Aortic),Losartan,2nd Line,"Add-on or alternative if beta-blocker not tolerated",Pregnancy; hyperkalemia
G609,Marfan Syndrome (Aortic),Elective Aortic Root Replacement,2nd Line,"Root diameter >5.0cm or rapid growth",Surgical risk
G610,Loeys-Dietz Syndrome,Losartan or Beta-Blockers,1st Line,"All patients",As above
G611,Loeys-Dietz Syndrome,Early Surgical Repair,2nd Line,"Aortic root >4.0-4.2cm (depending on age and family history)",As above
G612,Ehlers-Danlos Syndrome (Vascular type),BP Control (Beta-Blockers),1st Line,"All patients to reduce arterial events",As above
G613,Ehlers-Danlos Syndrome (Vascular type),Avoid invasive procedures,1st Line,"Minimize arterial punctures and surgery",None
G614,Takayasu Arteritis (Aortic involvement),Corticosteroids,1st Line,"Active inflammation",Infection; diabetes; osteoporosis
G615,Takayasu Arteritis (Aortic involvement),Immunosuppressants (Methotrexate, Azathioprine),2nd Line,"Steroid-sparing, refractory",Hepatotoxicity; myelosuppression
G616,Takayasu Arteritis (Aortic involvement),Surgical Bypass,3rd Line,"Critical stenosis, symptoms despite medical therapy",Restenosis; graft failure
G617,Giant Cell Arteritis (Aortic involvement),High-dose Corticosteroids,1st Line,"Immediate treatment to prevent blindness",As above
G618,Giant Cell Arteritis (Aortic involvement),Tocilizumab (Anti-IL6),2nd Line,"Refractory or steroid-sparing",Infection; neutropenia; hepatotoxicity
G619,Behçet's Disease (Vascular),Immunosuppressants (Corticosteroids + Cyclophosphamide or Azathioprine),1st Line,"Pulmonary artery aneurysm, major thrombosis",Infection; infertility; bladder toxicity
G620,Behçet's Disease (Vascular),Anticoagulation,Controversial,"Not generally recommended unless concomitant thrombophilia",Bleeding; aneurysm rupture
G621,Cogan's Syndrome,Corticosteroids,1st Line,"Active inflammation",As above
G622,Cogan's Syndrome,Immunosuppressants (Methotrexate, Mycophenolate),2nd Line,"Steroid-refractory",As above
G623,Relapsing Polychondritis (Cardiovascular),Corticosteroids,1st Line,"Acute flares",Infection; osteoporosis
G624,Relapsing Polychondritis (Cardiovascular),Immunosuppressants (Cyclophosphamide, Methotrexate),2nd Line,"Severe or refractory",As above
G625,Antiphospholipid Syndrome (Catastrophic),Anticoagulation (Heparin) + Corticosteroids + Plasma Exchange + IVIG,1st Line,"Multimodal therapy in ICU",Bleeding; infection
G626,Thrombotic Storm,Anticoagulation (Heparin then warfarin/DOAC),1st Line,"Intensive anticoagulation",Bleeding; recurrence
G627,Heparin-Induced Thrombocytopenia (HIT),Discontinue Heparin,1st Line,"Immediate cessation",Thrombosis progression
G628,Heparin-Induced Thrombocytopenia (HIT),Alternative Anticoagulation (Argatroban, Fondaparinux),1st Line,"Therapeutic dose",Bleeding
G629,Heparin-Induced Thrombocytopenia (HIT),Avoid Warfarin until platelets recovered,1st Line,"Prevent warfarin-induced skin necrosis",None
G630,Paroxysmal Nocturnal Hemoglobinuria (Thrombosis),Eculizumab (Anti-C5),1st Line,"Reduce hemolysis and thrombosis risk",Meningococcal infection risk; vaccination required
G631,Paroxysmal Nocturnal Hemoglobinuria (Thrombosis),Anticoagulation,2nd Line,"If thrombosis occurs despite eculizumab or if eculizumab not available",Bleeding
G632,Essential Thrombocythemia (Thrombosis),Low-dose Aspirin,1st Line,"All patients with thrombosis risk, regardless of age",GI bleeding; aspirin allergy
G633,Essential Thrombocythemia (Thrombosis),Cytoreduction (Hydroxyurea, Anagrelide),1st Line,"High-risk (age >60, prior thrombosis, JAK2 mutation)",Myelosuppression; teratogenicity
G634,Polycythemia Vera (Thrombosis),Low-dose Aspirin,1st Line,"All patients",As above
G635,Polycythemia Vera (Thrombosis),Phlebotomy,1st Line,"Maintain Hct <45%",Iron deficiency
G636,Polycythemia Vera (Thrombosis),Cytoreduction (Hydroxyurea),2nd Line,"High-risk, intolerance to phlebotomy",As above
G637,Sickle Cell Disease (Thrombosis),Hydroxyurea,1st Line,"Reduce VOC, ACS, transfusion needs",Myelosuppression; teratogenicity
G638,Sickle Cell Disease (Thrombosis),Chronic Transfusions,2nd Line,"Stroke prevention, severe complications",Iron overload; alloimmunization
G639,Thalassemia Intermedia (Thrombosis),Anticoagulation,2nd Line,"Documented thrombosis",Bleeding risk; transfusion
G640,Immune Thrombocytopenia (ITP) - Adult,Corticosteroids,1st Line,"First-line for newly diagnosed ITP with bleeding or platelets <30",Infection; osteoporosis; hyperglycemia
G641,Immune Thrombocytopenia (ITP) - Adult,IVIG,1st Line,"Emergency treatment, rapid platelet rise",Headache; aseptic meningitis; thrombosis
G642,Immune Thrombocytopenia (ITP) - Adult,Thrombopoietin Receptor Agonists (Eltrombopag),2nd Line,"Chronic ITP, failure of steroids",Hepatotoxicity; thrombosis; cataracts
G643,Immune Thrombocytopenia (ITP) - Adult,Rituximab,2nd Line,"Steroid-refractory or dependent",Infusion reactions; PML; hepatitis B reactivation
G644,Immune Thrombocytopenia (ITP) - Adult,Splenectomy,3rd Line,"Refractory to medical therapy",Infection risk; thrombosis
