Product,Description,Conseils,Categories,Link
Clean LP Répulsif,"Les bienfaits : CLEAN LP Répulsif Poux et Lentes est un spray préventif naturel contre les poux. Il est conçu pour prévenir l’infestation du cuir chevelu en cas d’épidémie et peut être vaporisé chaque matin avant le départ à l’école sur les cheveux et les vêtements de votre enfant. Sa formule naturelle est sans insecticide neurotoxique et à base de géraniol, qui possède des propriétés répulsives et apaisantes pour le cuir chevelu. Le produit a une texture douce qui laisse les cheveux doux et brillants, avec un parfum frais qui convient aux enfants dès l’âge de 6 mois.",,"Antipoux, Cosmétologie médicale",https://xenlaboratoires.com/product/clean-lp-repulsif/
KELA CAL,"Les bienfaits : KELA CAL est un complément à base de calcium qui offre un meilleur taux d’absorption et de tolérance digestive. Il est composé de calcium chélaté par de l’acide malique, ce qui signifie qu’il est conçu pour être digéré facilement. Il est également hypoallergénique et sans gluten, et il n’interfère pas avec l’absorption d’autres minéraux comme le phosphore ou le magnésium. KELA CAL est recommandé pour la supplémentation en calcium des femmes enceintes ou qui prévoient de l’être, des fumeurs, des grands buveurs de thé et de café, des personnes souffrant de problèmes de thyroïde et des personnes suivant un régime pauvre en produits laitiers.",,"Compléments alimentaires, Vitamines et minéraux",https://xenlaboratoires.com/product/kela-cal/
PouxOff Spray Répulsif,"Les bienfaits : Le spray répulsif Pouxoff est un produit préventif naturel pour lutter contre les poux et les lentes. Sa formule est à base de géraniol aux propriétés répulsives et apaisantes pour le cuir chevelu. Sans insecticide neurotoxique, il peut être utilisé en toute sécurité chez les enfants dès l’âge de 6 mois.",,"Antipoux, Cosmétologie médicale",https://xenlaboratoires.com/product/pouxoff-spray-repulsif/
KELA MAG BRAIN,"Complément buvable pour les fonctions cognitives, la fatigue mentale et le stress.",,"Compléments alimentaires, Pédiatrie",https://xenlaboratoires.com/product/kela-mag-brain/
Carbodose 1000 Sirop,"Carbodose 1000 est un dispositif médical de classe Ila, sans sucre, préconisé pour soulager les symptômes des états dyspeptiques (digestion difficile, les spasmes digestifs, ballonnements et/ou émission de gaz). Il exerce une action combinée et ciblée grâce à ses actifs, à savoir: Le charbon végétal activé (1000 mg): Agit comme un très puissant adsorbant des gaz intestinaux. La siméticone: Intervient comme un véritable pansement sur les parois gastriques et intestinales. Elle adhère sur les muqueuses pour constituer un film protecteur et exerce un effet anti-flatulent en modifiant la tension superficielle des bulles de gaz, facilitant ainsi leur élimination. → L’extrait d’anis vert: Stimule les glandes digestives et exerce une action carminative (il favorise l’expulsion de gaz) et spasmolytique, aidant ainsi le corps à lutter contre les problèmes gastro-intestinaux, et à soulager les ballonnements et l’aérophagie. L’inuline: Participe à l’amélioration de la flore intestinale et d’où le transit intestinal, tout en diminuant le risque de constipation. Elle exerce aussi le rôle de transporteur d’une portion de charbon actif ingéré, vers le site d’action intestinal souhaité (le côlon).",,Dispositifs médicaux,https://xenlaboratoires.com/product/carbodose-1000-sirop/
Betaxidine Spray,"Benefits : Betaxidine spray est une solution antiseptique, anti inflammatoire et cicatrisante ; à base de chlorhexidine0.4% et de panthénol 0.5%.",,Dispositifs médicaux,https://xenlaboratoires.com/product/betaxidine-spray/
PILO SLOW VISAGE,"Les bienfaits : Pilo Slow est une crème qui contient des principes actifs 100% naturels et réduit la croissance des taches disgracieuses sur le visage et le corps, les rendant pratiquement invisibles à chaque application. Pilo Slow a également une action anti-inflammatoire, hydratante et apaisante. Pilo Slow contient de l’acide nordihydrogucurétique extrait de larrea divaritica, de la paimatine extraite de fibrauréa recisa vectorisée en microsphères. Pilo Slow vous permet de : Retarder la repousse des cheveux Réduire la densité du poil Permettre de s’épiler moins souvent Donner à vos cheveux un aspect plus fin, plus clair et plus doux. Apaiser et hydrater votre peau",,"Cosmétologie médicale, Hyperpilosité, Peaux grasses, Peaux séches",https://xenlaboratoires.com/product/pilo-slow-visage/
Chondrosamine Sachets Buvables,Les bienfaits : Chondrosamine est utilisé dans le soulagement de la douleur et la gêne fonctionnelle au cours de l’arthrose du genou et de la hanche. Il aide à réparer et à générer les cartilages des articulations. Il permet de réduire les douleurs articulaires et l’amélioration de la mobilité articulaire.,,"Compléments alimentaires, Orthopédie",https://xenlaboratoires.com/product/chondrosamine-sachets-buvables/
Dorzen,"Les bienfaits : Les troubles du sommeil peuvent entraîner de la fatigue, une somnolence diurne, des pertes de mémoire et des problèmes de concentration. DORZEN agit sur le sommeil, car il contient de la mélatonine à 1mg. La mélatonine induit un état naturel de somnolence et de relaxation. Dorzen resynchronise le cycle du sommeil. DORZEN est sans accoutumance, sans effet rebond, et ne présente aucune contre-indication avec d’autres médicaments ou conditions médicales.",,"Compléments alimentaires, Neurologie",https://xenlaboratoires.com/product/dorzen/
Veinorroid,"Les bienfaits : Veinorroid est un dispositif médical, une pommade rectale, sans conservateurs, contenant de l’acide hyaluronique, des extraits d’origines végétale et des huiles essentielles. Elle agit localement pour soulager les troubles hémorroïdaires et ses complications. Il recouvre et protège l’épiderme, il apaise la peau enflammée et les démangeaisons, favorisant ainsi la régénération cutanée. Il diminue le desséchement de la peau, contribuant de ce fait à la cicatrisation des lésions. Il proscrit chez les femmes enceintes et allaitantes e aux enfants moins de 18 ans. Il y a 2 présentations : -5 monodoses de 5 g -10monodoses de 5g.",,Dispositifs médicaux,https://xenlaboratoires.com/product/veinorroid/
Kela fer G lipo,"Les bienfaits : Kela fer GLipo est un complément alimentaire à base de bisglycinate de fer et d’oméga 3 et le complexe vitamine B (B1, B5, B6, B9, B12). Il est adapté aux besoins nutritionnels spécifiques de la femme dès son désir de concevoir un enfant, pendant la grossesse et jusqu’au premier trimestre de la période d’allaitement. Il apporte les nutriments requis pour un développement harmonieux du fœtus.",,"Compléments alimentaires, Gynécologie",https://xenlaboratoires.com/product/kela-fer-g-lipo/
KELA VITE ÉNERGIE,"Les bienfaits : KELA VITE ENERGY est préconisé pour traiter la fatigue physique et intellectuelle, l’anxiété et le stress, la faiblesse du système immunitaire et les carences en nutriments. Il est recommandé de consommer deux capsules par jour, espacées d’au moins deux heures du repas.",,"Compléments alimentaires, Vitamines et minéraux",https://xenlaboratoires.com/product/kela-vite-energie/
Fertilla Q10,"Les bienfaits : FERTILLA Q10 est conçu pour maintenir la qualité des ovules et favoriser la croissance des tissus maternels afin de garantir une reproduction normale. C’est un complément alimentaire pré-conceptionnel est composé d’un mélange de mayo-inositol, d’acide folique, de vitamines et de minéraux pour soutenir l’équilibre hormonal. Il ne contient ni sucres, ni édulcorants, ni additifs.",,"Cosmétologie médicale, Fertilité",https://xenlaboratoires.com/product/fertilla-q10/
AC NOZ ECRAN SPF 50+,"Les bienfaits : L’écran fluide teinté Ac-noZ 50+ est conçu pour les peaux à tendance acnéique, mixtes ou grasses. Il offre une haute protection contre les rayons UVA/UVB grâce à un système filtrant large spectre et photostable. En plus de protéger la peau, il régule la production de sébum, favorise le renouvellement cellulaire et agit comme un anti-inflammatoire. L’acide Nordihydroguairétique et l’acide oléanolique sont des ingrédients clés qui agissent sur la régulation de la production de sébum et la réduction de l’inflammation. L’innovation VENUCEANE, un puissant antioxydant activé par la lumière et la chaleur, protège également la peau contre les dommages des UV. La texture légère et non grasse du produit permet une application facile et rapide, tout en matifiant et unifiant le teint. La formule contient des ingrédients comme le dexpanthénol, la vitamine E et la vitamine A, qui sont bénéfiques pour la peau.",,"Cosmétologie médicale, Peaux grasses, Protection solaire",https://xenlaboratoires.com/product/ac-noz-ecran-spf-50/
CB3-Mousse micellaire-peau sèches,"Les bienfaits : La CB3 Défense Mousse Micellaire Nettoyante pour Peaux Sèches est un produit de nettoyage doux et nourrissant pour la peau. Sa formule sans savon et sa texture mousse onctueuse laissent la peau parfaitement nette, fraîche et douce. CB3-MOUSSE MICELLAIRE-PEAU SÈCHES, contient de l’aloé véra, de la niacinamide et de la vitamine C stabilisée, qui nourrissent et protègent la peau des agressions extérieures tout en éliminant en douceur les impuretés et le maquillage.",,"Cosmétologie médicale, Peaux séches",https://xenlaboratoires.com/product/cb3-mousse-micellaire-peau-seches/
Adolor Crème-gel,"Les bienfaits : ADOLOR est une crème-gel anti-douleur qui a été conçue pour soulager rapidement les douleurs musculaires, articulaires et post-traumatiques. Cette crème-gel contient des ingrédients anti-inflammatoires, antalgiques, anti-raideurs et myorelaxantes pour un soulagement rapide et efficace de la douleur. ADOLOR est indiqué pour le traitement des douleurs musculaires, des douleurs articulaires et des douleurs post-traumatiques. ADOLOR contient les ingrédients actifs suivants : salicylate de méthyle, menthol cristallisé, harpagophytum et une combinaison d’huiles essentielles comprenant de l’huile essentielle de romarin à cinéole, de l’huile essentielle de giroflier, de l’huile essentielle de lavande et de l’huile essentielle de verveine exotique.",,"Compléments alimentaires, Orthopédie",https://xenlaboratoires.com/product/adolor-creme-gel/
ENEMACOL,"Dispositif médical contre la constipation, à base de glycérol, huile de paraffine et extraits naturels.",,Dispositifs médicaux,https://xenlaboratoires.com/product/enemacol/
Carbodose 1000 Sachets Buvables,"Carbodose 1000 est un dispositif médical de classe Ila, sans sucre, préconisé pour soulager les symptômes des états dyspeptiques (digestion difficile, les spasmes digestifs, ballonnements et/ou émission de gaz). Il exerce une action combinée et ciblée grâce à ses actifs, à savoir: Le charbon végétal activé (1000 mg): Agit comme un très puissant adsorbant des gaz intestinaux. La siméticone: Intervient comme un véritable pansement sur les parois gastriques et intestinales. Elle adhère sur les muqueuses pour constituer un film protecteur et exerce un effet anti-flatulent en modifiant la tension superficielle des bulles de gaz, facilitant ainsi leur élimination. L’extrait d’anis vert: Stimule les glandes digestives et exerce une action carminative (il favorise l’expulsion de gaz) et spasmolytique, aidant ainsi le corps à lutter contre les problèmes gastro-intestinaux, et à soulager les ballonnements et l’aérophagie. L’inuline: Participe à l’amélioration de la flore intestinale et d’où le transit intestinal, tout en diminuant le risque de constipation. Elle exerce aussi le rôle de transporteur d’une portion de charbon actif ingéré, vers le site d’action intestinal souhaité (le côlon).",,Dispositifs médicaux,https://xenlaboratoires.com/product/carbodose-1000-sachets-buvables/
Xylase Sirop,"Les bienfaits : Xylase est un complément alimentaire à base de papaïne, enzyme protéolytique extraite du fruit cru la papaye, possédant des propriétés antiinflammatoires et antiseptiques, dosés 40 000USP-U/mL.",,"Compléments alimentaires, Pédiatrie",https://xenlaboratoires.com/product/xylase-sirop/
Fertillo DNA,Les bienfaits : Fertillo DNA est un clément alimentaire riche de 12 micronutriments spécifiquement formulé pour couvrir les besoins nutritionnels des hommes désirant avoir un enfant. Sa formulation optimisée et ciblée a un impact direct sur la fertilité masculine en garantissant des conditions optimales pour une spermatogénèse normale te saine.,,"Cosmétologie médicale, Fertilité",https://xenlaboratoires.com/product/fertillo-dna/
Xylase,"Les bienfaits : Xylase est un complément alimentaire à base de papaïne, enzyme protéolytique extraite du fruit cru la papaye, possédant des propriétés antiinflammatoires et antiseptiques, dosés 400 000USP-U/gélule.",,"Compléments alimentaires, Immunité",https://xenlaboratoires.com/product/xylase/
Pelli Q10 grasses shampoing,"Les bienfaits : Le shampooing traitant Pelli Q10 est spécialement conçu pour traiter les pellicules grasses sans utiliser de sulfates ni de sodium. Enrichi en extraits de camomille, d’arnica et de thé vert, ce shampooing anti-pelliculaire est également micro-exfoliant et anti-démangeaisons. Il désincruste efficacement les pellicules tout en normalisant la production de sébum, ce qui aide à maintenir le cuir chevelu propre et sain. Sa formule unique contient également des ingrédients apaisants qui soulagent les irritations et les démangeaisons. La composition de Pelli Q10 est faite d’ingrédients de qualité, tels que l’extrait de camomille, d’arnica, de thé vert, de céramide A2, d’hydrolyzed collagen et de kératoline, qui renforcent la fibre capillaire tout en nettoyant en douceur. Le shampooing contient également des ingrédients naturels qui contribuent à améliorer la santé globale du cuir chevelu.",,"Anti pelliculaire, Cosmétologie médicale",https://xenlaboratoires.com/product/pelli-q10-grasses-shampoing/
CLEAN LP ASSAINISSANTE,"Les bienfaits : La lotion Clean LP est un traitement efficace et doux pour éliminer les poux et les lentes. Sa formule à base de diméticone à 70% assure une action rapide et radicale, tout en étant bien tolérée pour une utilisation sur les enfants à partir de 6 mois, car elle ne contient ni insecticides, ni parfums, ni alcool. Clean LP Lotion assainissante exerce une double action physique, elle étouffe et déshydrate les poux et les lentes. Sa formule se fixe sur les orifices respiratoires des parasites, les étouffe, les déshydrate et les tue en seulement 25 minutes.",,"Antipoux, Cosmétologie médicale",https://xenlaboratoires.com/product/clean-lp-assainissante/
Vagi,"Les bienfaits : Vagi germina est un dispositif médical, contenant 1 milliard de souche de l. crispatus. Cette bactérie bénéfique est présente naturellement dans le vagin et possède une forte capacitée d’adhérence à la paroi vaginale. Vagi germina apporte des lactobacilles en quantité importante pour recréer une véritable barrière au niveau de la muqueuse vaginale.",,Dispositifs médicaux,https://xenlaboratoires.com/product/vagi/
Fertillo Q10,"Les bienfaits : FERTILLO Q10 agit pour favoriser la fertilité et la production de sperme. Les ingrédients contenus dans le produit, notamment : La vitamine E, L’acide folique, Le coenzyme Q10, Les oligo-éléments zinc et sélénium, Les acides aminés L-arginine et L-carnitine, Les antioxydants bêta-carotène,",,"Cosmétologie médicale, Fertilité",https://xenlaboratoires.com/product/fertillo-q10/
keratin Q10 shampoing,"Les bienfaits : Le Kératin Q10 Shampooing est un soin réparateur conçu pour les cheveux fragiles et secs. Sa formule est sans sulfates ni sodium afin de respecter la structure des cheveux. Les laboratoires Xen ont travaillé en collaboration avec Sederma France pour créer une formule unique qui associe trois ingrédients puissants : la kératine végétale, le céramide et la coenzyme Q10. La kératine végétale, un combleur d’excellence de la fibre capillaire, permet de renforcer et réparer les cheveux abîmés. Le céramide, quant à lui, joue le rôle de véritable ciment intercellulaire qui maintient la cohésion des cellules capillaires et renforce la structure des cheveux. Enfin, la coenzyme Q10, un antiradicalaire, agit pour protéger les cheveux des agressions externes et stimule la racine des cheveux pour activer la production de deux kératines qui diminuent avec l’âge. Le Kératin Q10 Shampooing nettoie en douceur les cheveux fragiles et secs tout en réparant les cheveux défrisés, subis, cassants et ternes. Il est également recommandé pour l’entretien des cheveux ayant effectué un lissage à la kératine.",,"Cheveux sec abîmés, Cosmétologie médicale",https://xenlaboratoires.com/product/keratin-q10-shampoing/
Pouxoff lotion Enfants,"Les bienfaits : La lotion Assainissante PoUxOff est un produit qui élimine radicalement les poux et les lentes, et qui a une action express. Il s’attaque à la fois aux poux et aux lentes, se fixe sur les orifices respiratoires des parasites, les étouffe, les déshydrate et les tue. Il éradique en 25 minutes seulement, 100% des parasites. La formule est bien tolérée et peut être utilisée sur les enfants à partir de 6 mois. La lotion désinfectante PoUxOff a une formule non grasse qui se rince facilement et ne contient ni insecticides, ni parfums, ni alcool.",,"Antipoux, Cosmétologie médicale",https://xenlaboratoires.com/product/pouxoff-lotion-enfants/
Ultra germina B30,"Les bienfaits : Ultra Germina est un probiotique qui aide à maintenir l’équilibre du microbiote intestinal. Grâce à sa composition unique de quatre souches bactériennes bénéfiques, il favorise la digestion et prévient les troubles digestifs tels que la diarrhée, la constipation et les ballonnements. Le complément alimentaire, Ultra Germina est également efficace pour soulager les symptômes de l’intestin irritable, des maladies inflammatoires chroniques de l’intestin et de la stéatose hépatique.",,"Compléments alimentaires, Gastrologie",https://xenlaboratoires.com/product/ultra-germina-b30/
INOPK,"Les bienfaits : INOPK est un complément alimentaire qui peut aider les femmes souffrant de SOPK. Il contient du mayo-inositol, qui contribue à réduire la résistance à l’insuline et l’hyperandrogénie tout en améliorant la qualité des ovocytes, la croissance folliculaire et l’ovulation. Par ces actions, le mayo-inositol serait bénéfique pour la fertilité. INOPK contient également de la vitamine B9, qui contribue à réduire le taux d’homocystéine (acides aminés essentiels à la croissance cellulaire), souvent trop élevé et qui aggrave les symptômes du SOPK.",,"Compléments alimentaires, Ovaires polykystiques",https://xenlaboratoires.com/product/inopk/
Kelaplex Nerv,"Les bienfaits : Kelaplex Nerv est recommandé en cas de douleurs neuropathies périphériques. Il est un puissant antioxydant physiologique qui contribue à réduire les conséquences des radicaux libres, il soutient également l’intégrité des nerfs périphériques et le maintien de la structure et la fonction normale du foie. Il participe au maintien de la fonction synaptique cérébrale en favorisant la synthèse des phospholipides. Il améliore l’état général, moins de fatigue et de stress. Il assure une meilleure qualité de vie.",,"Compléments alimentaires, Neurologie",https://xenlaboratoires.com/product/kelaplex-nerv/
POPI-R Déstress,"Les bienfaits : Le POPI-R déstress est une solution recommandée pour les paupières sensibles et irritables, qui permet de lutter contre la fatigue de la peau. Grâce à l’extrait d’Euglène, une micro-algue unicellulaire qui dynamise la cellule chronobiologique, la peau est tonifiée et raffermie, tandis que les marques de fatigue sont estompées. De plus, l’extrait de cyprès et d’arnica active la microcirculation et renforce les parois veineuses, tandis que la Bacopa Monniera offre une protection anti-radicalaire, protégeant la peau contre les agressions externes telles que les UV et la pollution, ainsi que les facteurs internes de stress oxydatif tels que la fatigue et le stress. Le POPI-R déstress contribue à apaiser le contour de l’œil, offrant un regard plus frais et reposé, en atténuant les poches et les cernes, tout en renforçant la résistance de la peau face à la fatigue.",,"Contour des yeux, Cosmétologie médicale",https://xenlaboratoires.com/product/popi-r-destress/
KELA MAG FORT,"Les bienfaits : La posologie recommandée est d’une capsule par jour, avec de l’eau ou du jus. Ce complément alimentaire doit être utilisé en respectant les précautions suivantes : – Ne pas dépasser la dose journalière recommandée. – Tenir hors de portée des enfants. – En cas d’hypersensibilité à l’un des composants, ne pas consommer ce produit. En cas d’insuffisance rénale sévère (clairance de la créatinine inférieure à 30 ml/min), consultez votre médecin avant d’utiliser ce produit.",,"Compléments alimentaires, Neurologie, Vitamines et minéraux",https://xenlaboratoires.com/product/kela-mag-fort/
KELA FER 70,"Les bienfaits : KELA FER 70 est un complément alimentaire recommandé notamment aux adolescents en période de croissance, aux femmes enceintes ou allaitantes et aux personnes suivant un régime végétarien. Il contient du fer bisglycinate chélaté et des vitamines C.",,"Compléments alimentaires, Vitamines et minéraux",https://xenlaboratoires.com/product/kela-fer-70/
Hydra 24 légère,"Les bienfaits : HYDRA 24 – Crème légère est une crème hydratante conçue pour les peaux sensibles normales à mixtes. Cette crème hydrate la peau pendant 24 heures en profondeur, apaise les sensations d’inconfort et améliore le confort des peaux sensibles. La crème est formulée avec de l’Urée Pure, qui possède des propriétés hydratantes intenses, redonne souplesse et douceur à la peau, facilite le renouvellement des cellules de la peau, du MOIST 24, qui hydrate la peau tout au long de la journée, de l’HYDRAPROTECTOL, qui assure une hydratation immédiate des couches superficielles et une hydratation en profondeur en renforçant la barrière cutanée, du PACIFEEL, qui hydrate la peau et soulage des sensations d’inconfort, et des filtres solaires SPF 20 pour protéger contre les rayons UV. Le complexe multivitamines (vitamines A, E, F et provitamine B5) hydrate la peau, possède une action anti-inflammatoire et apaisante, facilite la réparation des cellules et des tissus, accélère la cicatrisation, ralentit le vieillissement cutané, protège la peau des dommages des UV et prévient la formation des rides.",,"Cosmétologie médicale, Hydratation, Peaux grasses",https://xenlaboratoires.com/product/hydra-24-legere/
K Citril,"Les bienfaits : K citril est un complément alimentaire a base de citrate de potassium, citrate de sodium et acide citrique. Grâce à son effet alcalinisant, il sert à diminuer l’acidité des urines, ce qui aide à dissoudre et à prévenir la formation des cristaux d’acide urique ou de cystine.",,"Calculs urinaires, Compléments alimentaires",https://xenlaboratoires.com/product/k-citril/
Gastro germina B15,"Les bienfaits : Le complément alimentaire « Notice Gastro germina » est composé de lactobacillus Reuteri, d’extrait de racine de pissenlit et de lithothamne. Il est disponible en deux présentations: Boîte de 7 gélules et boîte de 15 gélules. Ce produit est utile pour améliorer l’équilibre du microbiote gastro-intestinal, régulariser l’acidité gastrique, soulager les troubles digestifs aigus et équilibrer la flore intestinale perturbée. Il est recommandé de prendre une gélule par jour, de préférence au moment des repas, pendant 7 à 15 jours.",,"Compléments alimentaires, Gastrologie",https://xenlaboratoires.com/product/gastro-germina-b15/
Ac-noz Gel Nettoyant – 200 ml,"Les bienfaits : Ac-noZ Gel nettoyant est un nettoyant pour le visage sans savon, conçu pour nettoyer en douceur et purifier la peau tout en régulant la sécrétion de sébum. Sa formule enrichie en extraits naturels agit en profondeur pour éliminer les impuretés et assainir l’épiderme. Ac-noZ Gel nettoyant : Nettoie en douceur tout en purifiant la peau Régule la sécrétion de sébum pour une peau plus saine et équilibrée Formule enrichie en extraits naturels pour des résultats optimaux Sans savon pour éviter de dessécher la peau Convient à tous les types de peau",,"Cosmétologie médicale, Peaux grasses, Traitement de l’acné",https://xenlaboratoires.com/product/ac-noz-gel-nettoyant-200-ml/
TRIO B,"Les bienfaits : Trio B est un complément alimentaire présenté sous forme de gélules. Il est utilisé pour prévenir les symptômes liés à la carence en vitamine B1, vitamine B6 et vitamine B12, causée par une alimentation insuffisante ou une malabsorption des nutriments, en particulier chez les personnes âgées. Trio B assure un métabolisme énergétique normal. Une prévention du bon fonctionnement des systèmes nerveux et immunitaires. Une régulation de l’équilibre hormonal. Un renouvellement des cellules, des cheveux, des ongles et de la peau. Il se présente sou forme de boite de 30gélules",,"Compléments alimentaires, Vitamines et minéraux",https://xenlaboratoires.com/product/trio-b/
BIO PEEL MASQUE,"Les bienfaits : BioPeel Masque est un peeling biologique doux qui offre une action exfoliante, anti-iritante, hydratante intense et éclaircissante. Ce masque accélère la dépigmentation de toutes les taches brunes grâce à la synergie d’action de la kératoline et de la poudre de cône d’humulus lupus. Les principes actifs de BioPeel Masque comprennent la kératoline, une enzyme qui digère les protéines et libère les cellules mortes présentes à la surface de la peau, offrant ainsi un peeling enzymatique doux, non agressif, sans effets irritants. Le Wonderlight, une poudre de cône humulus lupus qui inhibe la synthèse de la mélanine, et le Bacocalmine, un extrait naturel de bacopa Monniera, calme les irritations et l’inflammation, protègent également la peau de l’attaque radicalaire et de l’oxydation. L’acide trihydroxypalmitique associé au biofiltrat de lactobacillus casei agissent en synergie et procurent à la peau une hydratation aussi bien profonde et durable que superficielle et immédiate.",,"Cosmétologie médicale, Peaux grasses, Peaux séches, Peeling biologique",https://xenlaboratoires.com/product/bio-peel-masque/
Oil Replacement Q10,"Les bienfaits : L’huile de remplacement Q10 est une crème huileuse à la texture légère et onctueuse. Grâce à sa composition riche en huiles naturelles régénérantes, des vitamines et de la kératine végétale, il offre une cure pour les cheveux secs, abîmés et cassants. Sa formule hautement nutritive, réparatrice, assouplissante et hydratante aide à contrôler les frisottis et protéger les racines et les pointes tout en rendant les cheveux plus souples et plus faciles à coiffer. OIL REPLACEMENT Q10 est composée de plusieurs matières bio-actives, notamment la kératine végétale, l’huile de pépins de raisin, l’huile de macadamia, le coenzyme Q10, le Keradyn HH, la vitamine F, la vitamine E, le panthénol et la céramide A2.",,"Cheveux sec abîmés, Cosmétologie médicale",https://xenlaboratoires.com/product/oil-replacement-q10/
KELA PLEX,"Les bienfaits : KELA PLEX complément alimentaire myorelaxant, peut être utilisé comme traitement d’appoint des contractures musculaires douloureuses. KELA PLEX contient du bisglycinate de magnésium, du citrate de potassium, de l’uridine monophosphate, de la taurine, de la vitamine B12 et de la vitamine B9.",,"Compléments alimentaires, Orthopédie",https://xenlaboratoires.com/product/kela-plex/
Pouxoff lotion Adultes,"Les bienfaits : PouxOff Lotion assainissante est un traitement efficace contre les poux et les lentes qui exerce une double action physique en étouffant et déshydratant les parasites. Elle agit rapidement et éradique les parasites en seulement 25 minutes. Cette lotion est bien tolérée et convient même aux enfants à partir de 6 mois. Elle est douce pour les cheveux et la peau et ne contient ni insecticides, ni parfums, ni alcool. PouxOff Lotion assainissante est composée de polydiméthylcyclosiloxane, d’isopropylpalmitate et de diméticone.",,"Antipoux, Cosmétologie médicale",https://xenlaboratoires.com/product/pouxoff-lotion-adultes/
Ac-noz Soin Correcteur,"Les bienfaits : Ac-noZ est un soin correcteur 100% d’origine naturelle, enrichi en extraits naturels, qui lutte contre tous les phénomènes de brillance, de boutons, de points noirs et d’inflammation, et prévient les manifestations propres aux peaux grasses et à tendance acnéique. Sa formule innovante contient des principes actifs naturels (l’acide nordihydroguairé, l’acide oléanolique, la lactoferrine et la lacténine) qui régulent la séborrhée, réduisent l’inflammation et combattent les bactéries responsables de l’acné, pour une peau plus saine et équilibrée. En outre, il resserre les pores, unifie le grain de peau et matifie la peau, pour une apparence plus claire.",,"Cosmétologie médicale, Peaux grasses, Traitement de l’acné",https://xenlaboratoires.com/product/ac-noz-soin-correcteur/
Intimel Ph5,"Les bienfaits : Intimel PH5 est un nettoyant doux spécialement formulé pour préserver l’équilibre de la flore intime féminine. Grâce à son complexe lavant non agressif, il nettoie en douceur sans dessécher la peau. Sa formule au pH physiologique respecte l’intimité des femmes, leur évitant ainsi tout risque d’irritation ou d’infection. Les bienfaits d’Intimel PH5 sont multiples : une hygiène intime optimale, une sensation de fraîcheur et de propreté tout au long de la journée et une réduction significative du risque d’inconforts intimes.",,"Cosmétologie médicale, Intimel",https://xenlaboratoires.com/product/intimel-ph5/
4 Folic,"4 FOLIC est un complément alimentaire à base de Quatrefolic® , une forme de vitamine B9 hautement biodisponible . Elle contribue à prévenir les anomalies du tube neural chez le fœtus, soutient la croissance des tissus maternels pendant la grossesse, et participe à la division cellulaire . Quatrefolic® aide aussi à maintenir les fonctions psychologiques et à préserver la cognition avec l’âge.",,"Compléments alimentaires, Gynécologie",https://xenlaboratoires.com/product/4-folic/
Vita Croc,"Les bienfaits : Vita croc, une boite de 20 comprimés à croquer. Le comprimé de vitacroc est à 300mg de vitamine C. Facile à consommer, il est recommandé pour garder la forme et améliorer votre bien-être, VITA CROC, aide à réduire la fatigue, soutient le fonctionnement normal du système immunitaire et protège les cellules du stress oxydatif. Ce complément alimentaire stimule la production d’énergie et améliore les mécanismes de défense.",,"Compléments alimentaires, Immunité",https://xenlaboratoires.com/product/vita-croc/
Pelli Q10 Séches shampoing,"Les bienfaits : Il est recommandé de laisser poser le shampooing pendant 5 minutes lors de la première application, puis de masser et de rincer les applications suivantes. Il est important d’éviter tout contact avec les yeux et la peau endommagée. Utilisez PELLI Q10 dans le cadre de votre routine quotidienne de soins de la peau.",,"Anti pelliculaire, Cosmétologie médicale",https://xenlaboratoires.com/product/pelli-q10-seches-shampoing/
Chondrosamine Comprimé,"DANS QUELS CAS UTILISER CE COMPLEMENT ALIMENTAIRE ? Chondrosamine est utilisé pour le Soulagement de la douleur et de la gêne fonctionnelle au cours de l’arthrose du genou et de la hanche. – Sulfate de Glucosamine: Aide à réparer et à régénérer les cartilages des articulations. Elle contribue à diminuer progressivement les inconforts. – Chondroitine Sulfate: Aide à réduire des douleurs articulaires et à améliorer de la mobilité articulaire. – MSM: Est une solution qui permet de retrouver un confort articulaire, pour les personnes souffrant d’arthtrose. – Acide Hyaluronique: Aide à Lubrifier et protéger les cartilages chez les sportifs, soulager les douleurs articulaires associées à l’arthrose.",,"Compléments alimentaires, Orthopédie",https://xenlaboratoires.com/product/chondrosamine-comprime/
Forti Q 10 – Lotion,"Les bienfaits : La Forti Q10 une lotion capillaire, c’est une solution naturelle et efficace pour les personnes souffrant de perte de cheveux et qui cherchent à renforcer leurs cheveux et stimuler leur croissance. Cette solution cible les principales causes de l’alopécie, telles que la micro-circulation, l’atrophie du follicule, la dihydrotestostérone, le vieillissement folliculaire et d’autres facteurs qui affectent la santé et la croissance des cheveux. Composée d’une forte concentration d’actifs naturels soigneusement sélectionnés, cette lotion agit de manière complémentaire et synergique pour renforcer les cheveux, stimuler leur croissance et réduire la chute des cheveux. Elle contient des ingrédients actifs tels que l’acide oléanolique, l’apigénine et le biotinyl-GHK, qui agissent en harmonie pour améliorer la micro-circulation, stimuler le métabolisme cellulaire, inhiber la production de dihydrotestostérone et renforcer la structure du cheveu.",,"Chute cheveux, Cosmétologie médicale",https://xenlaboratoires.com/product/forti-q-10-lotion/
