Substance 1,Substance 2,Type interaction,Explication détaillée,Conduite à tenir
Konjac (glucomannane),Médicaments oraux,CONFLIT,Le konjac gonfle dans l'estomac et réduit l'absorption des médicaments.,Prendre les médicaments 1-2h avant le konjac.
Chitosan,Médicaments oraux,CONFLIT,"Le chitosan adsorbe les graisses ET les médicaments liposolubles (vitamines A, D, E, K, contraceptifs).",⚠️ Prendre 4h avant/après les médicaments. RÉDUIT l'absorption des vitamines liposolubles.
Chitosan,"Vitamines liposolubles (A, D, E, K)",CONFLIT,Le chitosan adsorbe les graisses et donc les vitamines liposolubles → carence possible à long terme.,"Supplémenter en vitamines A, D, E, K si chitosan au long cours."
Millepertuis,Toute médication CYP3A4/CYP2C9,CONFLIT MAJEUR,⚠️ Le millepertuis est un PUISSANT inducteur enzymatique. Il accélère la destruction de >60% des médicaments via CYP3A4/CYP2C9/P-gp.,LA PLANTE LA PLUS DANGEREUSE en interactions. TOUJOURS vérifier TOUS les traitements du patient.
Réglisse,Toute médication hypokaliémiante,CONFLIT MAJEUR,La glycyrrhizine inhibe la 11β-HSD2 → excès de cortisol → HTA + rétention Na⁺ + perte K⁺.,"⚠️ CONTRE-INDIQUÉE si HTA, insuffisance cardiaque, hypokaliémie, diurétiques, digitaliques."
Pamplemousse,Toute médication CYP3A4,CONFLIT MAJEUR,Les furanocoumarines du pamplemousse inhibent IRRÉVERSIBLEMENT le CYP3A4 intestinal → surdosage médicamenteux pendant 72h.,⚠️ Interagit avec >85 médicaments. Effet dure 72h après un seul verre.
Coenzyme Q10,Vitamine E,SYNERGIE,Le CoQ10 et la vitamine E sont des antioxydants liposolubles complémentaires dans les membranes cellulaires.,Association anti-âge.
Coenzyme Q10,Sélénium,SYNERGIE,Le sélénium et le CoQ10 travaillent en synergie pour la protection cardiovasculaire (étude KiSel-10).,Association prouvée en réduction de la mortalité cardiovasculaire chez le senior.
Coenzyme Q10,L-Carnitine,SYNERGIE,CoQ10 (chaîne respiratoire mitochondriale) + L-carnitine (transport des acides gras mitochondriaux). Double énergie cellulaire.,Association énergétique mitochondriale.
Acide alpha-lipoïque,NAC,SYNERGIE,"Tous deux régénèrent le glutathion. L'ALA régénère la vitamine C, le NAC fournit la cystéine pour le GSH.",Puissant combo antioxydant hépatique.
Acide alpha-lipoïque,Chrome,SYNERGIE,Tous deux améliorent la sensibilité à l'insuline par des mécanismes différents.,Association intéressante pour le diabète type 2.
Astaxanthine,Vitamine C,SYNERGIE,L'astaxanthine est un caroténoïde 6000x plus puissant que la vitamine C comme antioxydant.,Association antioxydante de haute performance.
Astaxanthine,Oméga 3,SYNERGIE,L'astaxanthine protège les oméga 3 de la peroxydation (l'huile de krill contient naturellement les deux).,Association naturelle dans l'huile de krill.
Lutéine,Zéaxanthine,SYNERGIE,"Les deux caroténoïdes se concentrent dans la macula. Ensemble, ils filtrent la lumière bleue et protègent la rétine.",Duo oculaire de référence. Présents ensemble dans les formules vision (ex: AREDS2).
Lutéine,Vitamine A,SYNERGIE,Lutéine (protection rétinienne) + vitamine A (fonctionnement des photorécepteurs). Complémentaires.,Association vision complète.
Lutéine,Oméga 3 DHA,SYNERGIE,Le DHA est le composant lipidique majeur de la rétine. Lutéine + DHA = double protection oculaire.,Association oculaire optimale: lutéine + zéaxanthine + DHA + vitamine A.
MSM,Glucosamine,SYNERGIE,"MSM (soufre organique, anti-inflammatoire) + glucosamine (chondroprotection). Combo articulaire éprouvé.",Association articulaire classique. Effet supérieur à chaque composant seul.
MSM,Vitamine C,SYNERGIE,La vitamine C améliore l'absorption du MSM et soutient la synthèse du collagène.,Association bénéfique.
Boswellia,Curcuma,SYNERGIE,"Deux anti-inflammatoires naturels: boswellia (5-LOX) + curcuma (NF-κB, COX-2). Voies différentes.",Association anti-inflammatoire puissante.
Boswellia,Oméga 3,SYNERGIE,Triple action anti-inflammatoire: boswellia + oméga 3 couvrent LOX + COX + résolvines.,Combo anti-inflammatoire complet.
Thé/Café (tanins/caféine),Fer,CONFLIT,"Les tanins du thé et du café chélatent le fer non-héminique, réduisant son absorption de 60-90%.",Ne pas boire de thé/café 1h avant et 2h après la prise de fer.
Produits laitiers (calcium/caséine),Fer,CONFLIT,Le calcium et la caséine du lait réduisent l'absorption du fer.,Éviter de prendre fer avec du lait ou fromage.
Produits laitiers,Tétracyclines/Quinolones,CONFLIT,Le calcium chélate ces antibiotiques → efficacité réduite de 50-90%.,Espacer de 2-3h. Pas de lait avec ces antibiotiques.
"Aliments riches en tyramine (fromages affinés, charcuterie, vin rouge)",IMAO,CONFLIT MAJEUR,⚠️ Crise hypertensive potentiellement mortelle. Les IMAO empêchent la dégradation de la tyramine.,INTERDIT sous IMAO. Régime strict sans tyramine obligatoire.
Alcool,Paracétamol,CONFLIT MAJEUR,L'alcool induit le CYP2E1 qui produit le métabolite hépatotoxique du paracétamol (NAPQI).,⚠️ Risque d'hépatite fulminante. Ne pas dépasser 2g paracétamol/j chez le consommateur régulier d'alcool.
Alcool,Metformine,CONFLIT MAJEUR,L'alcool + la metformine augmentent le risque d'acidose lactique.,Limiter strictement l'alcool sous metformine.
Alcool,Sédatifs/Benzodiazépines,CONFLIT MAJEUR,"Potentialisation de la dépression du SNC → coma, dépression respiratoire.",INTERDIT. Association potentiellement mortelle.
"Aliments riches en vitamine K (brocoli, chou, épinards)",AVK (warfarine),INTERACTION,La vitamine K alimentaire antagonise la warfarine → INR instable.,Apport QUOTIDIEN STABLE en légumes verts. Ne pas en supprimer brusquement.
Sel (sodium),Lithium,INTERACTION,Un régime pauvre en sel augmente la réabsorption rénale du lithium → surdosage. Un régime riche en sel le dilue.,Apport STABLE en sel sous lithium. Pas de régime hyposodé brusque.
Fibres alimentaires / Phytates,Zinc,CONFLIT,"Les phytates (céréales, légumineuses) chélatent le zinc. Réduction d'absorption de 40-60%.",Prendre le zinc à distance des repas riches en céréales complètes.
Jus d'orange / Vitamine C,Fer,SYNERGIE,Le jus d'orange (vitamine C + acide citrique) augmente l'absorption du fer de 2-6 fois.,Un verre de jus d'orange avec le comprimé de fer = combo optimal.
