disease_id,disease_name,therapeutic_area,chronic_or_acute,severity_level,brief_clinical_description,typical_patient_profile,common_comorbidities
DIS172,Obstructive Sleep Apnea (Moderate),Otorhinolaryngology,Chronic,Moderate,Collapsible upper airway during sleep,Obese; male; large neck,Hypertension; Daytime sleepiness
DIS173,Nasal Polyps,Otorhinolaryngology,Chronic,Moderate,Benign growths in nasal mucosa,Adults; asthma; aspirin sensitivity,Sinusitis; Anosmia
DIS174,Epistaxis (Recurrent),Otorhinolaryngology,Acute,Mild,Recurrent nosebleeds,Children; elderly; dry climate; anticoagulants,Anemia; Anxiety
DIS175,Thyroid Nodule (Benign),Endocrinology,Chronic,Low,Non-cancerous growth in thyroid,Women; middle-aged,Compression symptoms; Malignancy risk
DIS176,Hashimoto's Thyroiditis,Endocrinology,Chronic,Moderate,Autoimmune hypothyroidism,Women; middle-aged; family history,Hyperlipidemia; Depression; Goiter
DIS177,Graves' Ophthalmopathy,Endocrinology,Chronic,Moderate,Orbital involvement in Graves' disease,Women; smokers,Proptosis; Diplopia; Vision loss
DIS178,Primary Hyperparathyroidism,Endocrinology,Chronic,Moderate,Excess PTH from parathyroid adenoma,Women >50; postmenopausal,Osteoporosis; Nephrolithiasis
DIS179,Hypopituitarism (Panhypopituitarism),Endocrinology,Chronic,Severe,Deficiency of multiple pituitary hormones,Any age; post-surgery; tumor,Adrenal crisis; Infertility
DIS180,Adrenal Incidentaloma,Endocrinology,Chronic,Low,Asymptomatic adrenal mass discovered incidentally,Adults >50; imaging for other reasons,Hormonal excess; Malignancy
DIS181,Osteogenesis Imperfecta,Clinical Genetics,Chronic,Moderate,Hereditary disorder causing brittle bones,Children; family history,Fractures; Blue sclera; Hearing loss
DIS182,Cystic Fibrosis,Clinical Genetics,Chronic,Severe,Autosomal recessive disorder affecting exocrine glands,Children; Caucasian,Respiratory infections; Pancreatic insufficiency; Infertility
DIS183,Duchenne Muscular Dystrophy,Clinical Genetics,Chronic,Severe,X-linked recessive muscular dystrophy,Boys; early childhood,Cardiomyopathy; Respiratory failure; Scoliosis
DIS184,Fragile X Syndrome,Clinical Genetics,Chronic,Moderate,X-linked disorder leading to intellectual disability,Boys; carrier females,Autism; Anxiety; Macroorchidism
DIS185,Hemophilia A,Clinical Genetics,Chronic,Severe,X-linked factor VIII deficiency,Boys; family history,Bleeding; Arthropathy; Intracranial hemorrhage
DIS186,Sickle Cell Disease,Clinical Genetics,Chronic,Severe,Hemoglobinopathy causing sickle-shaped RBCs,African descent; children,Pain crises; Stroke; Infections
DIS187,Trisomy 21 (Down Syndrome),Clinical Genetics,Chronic,Moderate,Chromosomal disorder with intellectual disability,All ethnicities; maternal age,Congenital heart disease; Alzheimer's risk; Leukemia
DIS188,Marfan Syndrome,Clinical Genetics,Chronic,Moderate,Connective tissue disorder due to FBN1 mutation,Tall individuals; family history,Aortic aneurysm; Lens dislocation; Scoliosis
DIS189,Huntington's Disease (already in Neuro, but okay), repeat? We'll skip.
DIS190,Neurofibromatosis Type 1,Clinical Genetics,Chronic,Moderate,Tumor predisposition syndrome,Children; family history,Neurofibromas; Learning difficulties; Optic glioma
DIS191,Turner Syndrome,Clinical Genetics,Chronic,Moderate,Monosomy X in females,Girls; short stature,Coarctation of aorta; Infertility; Hypothyroidism
DIS192,Klinefelter Syndrome,Clinical Genetics,Chronic,Moderate,XXY syndrome in males,Boys; tall stature,Hypogonadism; Infertility; Gynecomastia
DIS193,Phenylketonuria,Clinical Genetics,Chronic,Moderate,Inborn error of phenylalanine metabolism,Newborns; screened,Intellectual disability if untreated; Eczema
DIS194,Gaucher Disease,Clinical Genetics,Chronic,Moderate,Lysosomal storage disorder,Ashkenazi Jews; children/adults,Hepatosplenomegaly; Bone pain; Cytopenias
DIS195,Acute Lymphoblastic Leukemia,Oncology,Acute,Severe,Rapidly progressing cancer of lymphoid line,Children; adults >50,Infection; Bleeding; CNS involvement
DIS196,Chronic Myeloid Leukemia,Oncology,Chronic,Moderate,Myeloproliferative neoplasm with Philadelphia chromosome,Adults; middle-aged,Blast crisis; Splenomegaly
DIS197,Hairy Cell Leukemia,Oncology,Chronic,Moderate,Rare indolent B-cell malignancy,Men >50; rare,Pancytopenia; Splenomegaly; Infections
DIS198,Waldenström Macroglobulinemia,Oncology,Chronic,Moderate,Lymphoplasmacytic lymphoma with IgM monoclonal gammopathy,Elderly; male,Hyperviscosity; Neuropathy; Anemia
DIS199,Mantle Cell Lymphoma,Oncology,Chronic,Severe,Aggressive B-cell lymphoma,Men >60; advanced stage,Extranodal involvement; Poor prognosis
DIS200,Burkitt Lymphoma,Oncology,Acute,Severe,Highly aggressive B-cell lymphoma,Children in Africa; immunocompromised,Jaw mass; Abdominal mass; CNS involvement
DIS201,Mesothelioma (Pleural),Oncology,Chronic,Severe,Rare cancer of mesothelium due to asbestos,Adults >60; asbestos exposure,Chest pain; Dyspnea; Poor prognosis
DIS202,Cholangiocarcinoma,Oncology,Chronic,Severe,Bile duct cancer,Adults >50; PSC; liver flukes,Jaundice; Liver failure; Metastasis
DIS203,Gastric Adenocarcinoma,Oncology,Chronic,Severe,Stomach cancer,Adults >60; H. pylori; diet,Weight loss; Bleeding; Metastasis
DIS204,Esophageal Squamous Cell Carcinoma,Oncology,Chronic,Severe,SCC of esophagus,Smoking; alcohol; developing countries,Dysphagia; Cachexia; Metastasis
DIS205,Esophageal Adenocarcinoma,Oncology,Chronic,Severe,Adenocarcinoma of esophagus,Barrett's esophagus; white males,GERD; Dysphagia; Metastasis
DIS206,Anal Canal Carcinoma,Oncology,Chronic,Moderate,SCC of anus,HPV infection; HIV; smoking,Bleeding; Pain; Metastasis to inguinal nodes
DIS207,Vulvar Carcinoma,Oncology,Chronic,Moderate,SCC of vulva,Postmenopausal women; HPV,Itching; Bleeding; Inguinal node metastasis
DIS208,Cervical Carcinoma (SCC),Oncology,Chronic,Severe,SCC of cervix,Women 30-50; HPV infection,Metastasis to pelvic nodes; Parametrial invasion
DIS209,Endometrial Adenocarcinoma,Oncology,Chronic,Moderate,Cancer of uterine lining,Postmenopausal women; obesity; estrogen exposure,Vaginal bleeding; Myometrial invasion
DIS210,Uterine Sarcoma,Oncology,Chronic,Severe,Rare uterine cancer,Women; all ages,Metastasis; Poor prognosis
DIS211,Adrenocortical Carcinoma,Oncology,Chronic,Severe,Rare cancer of adrenal cortex,Children; adults,Hormone excess; Local invasion
DIS212,Pheochromocytoma,Oncology,Chronic,Severe,Catecholamine-secreting tumor,Adults; familial syndromes,Hypertension; Palpitations; Stroke
DIS213,Carcinoid Syndrome,Oncology,Chronic,Moderate,Neuroendocrine tumor secreting serotonin,Midgut carcinoid; metastatic,Flushing; Diarrhea; Valvular heart disease
DIS214,Parathyroid Carcinoma,Oncology,Chronic,Severe,Rare cancer of parathyroid,Adults; severe hypercalcemia,Renal failure; Bone disease
DIS215,Myelodysplastic Syndromes,Hematology,Chronic,Severe,Clonal stem cell disorder with cytopenias,Elderly; prior chemo,Acute myeloid leukemia; Infections
DIS216,Aplastic Anemia,Hematology,Chronic,Severe,Bone marrow failure,Children; young adults; idiopathic; toxins,Pancytopenia; Infections; Bleeding
DIS217,Hereditary Spherocytosis,Hematology,Chronic,Moderate,RBC membrane disorder,Children; family history,Gallstones; Hemolytic crises
DIS218,Immune Thrombocytopenic Purpura,Hematology,Chronic,Moderate,Autoimmune destruction of platelets,Children (acute); adults (chronic),Bleeding; Fatigue
DIS219,Von Willebrand Disease,Hematology,Chronic,Moderate,Most common inherited bleeding disorder,Both sexes; family history,Menorrhagia; Bleeding after surgery
DIS220,Thrombotic Thrombocytopenic Purpura,Hematology,Acute,Severe,Microangiopathic hemolytic anemia with thrombocytopenia,Adults; female; ADAMTS13 deficiency,Neurologic symptoms; Renal failure
DIS221,Disseminated Intravascular Coagulation,Hematology,Acute,Severe,Systemic activation of coagulation,Sepsis; trauma; obstetric complications,Bleeding; Thrombosis; Organ failure
DIS222,Polycythemia Vera,Hematology,Chronic,Moderate,Myeloproliferative neoplasm with increased RBC mass,Adults >60; JAK2 mutation,Thrombosis; Pruritus; Transformation to AML
DIS223,Essential Thrombocythemia,Hematology,Chronic,Moderate,Myeloproliferative neoplasm with high platelets,Adults >50; JAK2 mutation,Thrombosis; Bleeding; Transformation
DIS224,Primary Myelofibrosis,Hematology,Chronic,Severe,Myeloproliferative neoplasm with bone marrow fibrosis,Adults >60; JAK2 mutation,Constitutional symptoms; Splenomegaly; Cytopenias
DIS225,Amyloidosis (Primary),Hematology,Chronic,Severe,Extracellular deposition of amyloid fibrils,Adults >50; plasma cell dyscrasia,Cardiomyopathy; Nephrotic syndrome; Neuropathy
DIS226,Mixed Connective Tissue Disease,Rheumatology,Chronic,Moderate,Overlap syndrome with features of SLE, scleroderma, polymyositis,Women 20-40; anti-RNP,Pulmonary hypertension; Arthritis; Raynaud's
DIS227,Behçet's Disease,Rheumatology,Chronic,Moderate,Multi-system vasculitis with oral/genital ulcers,Young adults; Silk Road,Thrombosis; Uveitis; CNS involvement
DIS228,Takayasu Arteritis,Rheumatology,Chronic,Severe,Granulomatous large vessel vasculitis,Young women; Asian,Vascular stenosis; Aneurysm; Stroke
DIS229,Giant Cell Arteritis,Rheumatology,Chronic,Severe,Vasculitis of medium/large arteries in elderly,Adults >50; female,Blindness; Aortic aneurysm; Polymyalgia rheumatica
DIS230,Polyarteritis Nodosa,Rheumatology,Chronic,Severe,Necrotizing vasculitis of medium arteries,Adults; HBV association,Mononeuritis multiplex; Renal involvement
DIS231,IgG4-related Disease,Immunology,Chronic,Moderate,Fibroinflammatory condition with IgG4+ plasma cells,Men >50; Asian,Multi-organ (pancreas, salivary, retroperitoneum)
DIS232,Common Variable Immunodeficiency,Immunology,Chronic,Severe,Primary immunodeficiency with low immunoglobulins,Children; adults,Recurrent infections; Autoimmunity; Granulomas
DIS233,Severe Combined Immunodeficiency,Immunology,Acute,Severe,Genetic defect causing near-absence of T cells,Infants; SCID,Life-threatening infections; Failure to thrive
DIS234,Wiskott-Aldrich Syndrome,Immunology,Chronic,Severe,X-linked primary immunodeficiency,Eczema; Thrombocytopenia; Infections,Boys; family history
DIS235,Chronic Granulomatous Disease,Immunology,Chronic,Severe,Phagocyte defect leading to recurrent bacterial/fungal infections,Children; X-linked or AR,Granulomas; Abscesses; Infections
DIS236,Hyper-IgE Syndrome,Immunology,Chronic,Moderate,Primary immunodeficiency with high IgE,Recurrent skin/lung abscesses; eczema; coarse facies,Children; autosomal dominant
DIS237,Hereditary Angioedema,Immunology,Chronic,Moderate,C1 inhibitor deficiency causing recurrent angioedema,Adolescents; family history,Laryngeal edema; Abdominal pain
DIS238,Mastocytosis (Systemic),Immunology,Chronic,Moderate,Clonal mast cell proliferation,Adults; KIT mutation,Anaphylaxis; Osteoporosis; GI symptoms
DIS239,Allergic Rhinitis (Perennial),Allergy and Immunology,Chronic,Mild,IgE-mediated inflammation of nasal mucosa,Children; adults; atopic,Conjunctivitis; Asthma; Sinusitis
DIS240,Food Allergy (Peanut),Allergy and Immunology,Chronic,Moderate,IgE-mediated hypersensitivity to peanut,Children; may persist,Anaphylaxis; Atopic dermatitis
DIS241,Drug Allergy (Penicillin),Allergy and Immunology,Acute,Moderate,Immediate or delayed hypersensitivity to penicillin,Any age; prior exposure,Anaphylaxis; Stevens-Johnson syndrome
DIS242,Anaphylaxis (Idiopathic),Allergy and Immunology,Acute,Severe,Severe life-threatening allergic reaction without identifiable trigger,Adults; female,Recurrent episodes; Hypotension
DIS243,Urticaria (Acute),Allergy and Immunology,Acute,Mild,Wheals lasting <6 weeks due to allergen or infection,All ages; triggers,Angioedema; Anaphylaxis risk
DIS244,Atopic March,Allergy and Immunology,Chronic,Mild,Progression from eczema to allergic rhinitis to asthma in childhood,Infants with atopic dermatitis,Asthma; Allergic rhinitis; Food allergy
DIS245,Allergic Bronchopulmonary Mycosis,Pulmonology,Chronic,Moderate,Hypersensitivity to fungi in asthmatics,Adults with asthma; CF,Bronchiectasis; Fibrosis
DIS246,Acute Chest Syndrome,Hematology,Acute,Severe,Life-threatening complication of sickle cell disease,Children with SCD; infection,Respiratory failure; Acute pain
DIS247,Thalassemia Major,Hematology,Chronic,Severe,Severe beta-thalassemia requiring transfusions,Children; Mediterranean/Asian descent,Transfusion hemosiderosis; Growth retardation
DIS248,Paroxysmal Nocturnal Hemoglobinuria,Hematology,Chronic,Severe,Acquired clonal stem cell disorder with complement-mediated hemolysis,Adults; thrombosis,Thrombosis; Bone marrow failure; Smooth muscle dystonia
DIS249,Pure Red Cell Aplasia,Hematology,Chronic,Severe,Selective failure of erythropoiesis,Adults; associated with thymoma; drugs,Severe anemia; Transfusion dependence
DIS250,Granulomatosis with Polyangiitis,Rheumatology,Chronic,Severe,ANCA-associated vasculitis with respiratory and renal involvement,Adults; Caucasian,Glomerulonephritis; Pulmonary nodules; ENT involvement
DIS251,Eosinophilic Granulomatosis with Polyangiitis,Rheumatology,Chronic,Severe,ANCA-associated vasculitis with asthma and eosinophilia,Adults; asthma history,Mononeuritis multiplex; Cardiac involvement
DIS252,Microscopic Polyangiitis,Rheumatology,Chronic,Severe,ANCA-associated vasculitis with pauci-immune glomerulonephritis,Adults; elderly,Rapidly progressive GN; Pulmonary hemorrhage
DIS253,Anti-GBM Disease,Rheumatology,Acute,Severe,Goodpasture syndrome: antibodies against type IV collagen,Young men; elderly,Alveolar hemorrhage; Rapidly progressive GN
DIS254,IgA Vasculitis (Henoch-Schönlein),Rheumatology,Acute,Moderate,Small-vessel vasculitis with IgA deposits,Children; post-infection,Purpura; Arthritis; Abdominal pain; Nephritis
DIS255,Hereditary Hemorrhagic Telangiectasia,Clinical Genetics,Chronic,Moderate,Autosomal dominant disorder with telangiectasias and AVMs,Adults; family history,Epistaxis; GI bleeding; Stroke from AVM
DIS256,Ehlers-Danlos Syndrome (Hypermobility),Clinical Genetics,Chronic,Moderate,Connective tissue disorder with joint hypermobility,Children; adults; female,Joint pain; Dislocations; Skin hyperextensibility
DIS257,Osteopetrosis,Clinical Genetics,Chronic,Severe,Increased bone density due to osteoclast dysfunction,Children; autosomal recessive,Pathologic fractures; Bone marrow failure; Vision loss
DIS258,Glycogen Storage Disease Type I,Clinical Genetics,Chronic,Severe,Deficiency of glucose-6-phosphatase,Infants; hepatomegaly,Hypoglycemia; Lactic acidosis; Gout
DIS259,Maple Syrup Urine Disease,Clinical Genetics,Acute,Severe,Disorder of branched-chain amino acid metabolism,Newborns; autosomal recessive,Neurologic deterioration; Coma; Death
DIS260,Homocystinuria,Clinical Genetics,Chronic,Moderate,Deficiency of cystathionine beta-synthase,Children; Marfanoid appearance,Ectopia lentis; Thrombosis; Intellectual disability
DIS261,Acute Coronary Syndrome,Cardiology,Acute,Severe,Umbrella term for MI and unstable angina,Elderly; multiple risk factors,Arrhythmias; Heart failure; Cardiogenic shock
DIS262,Prinzmetal Angina,Cardiology,Chronic,Moderate,Vasospastic angina,Younger; smokers; migraine,Arrhythmias; MI
DIS263,Brugada Syndrome,Cardiology,Chronic,Severe,Genetic channelopathy causing risk of sudden death,Adults 30-40; male; Asian,Syncope; Sudden cardiac death
DIS264,Catecholaminergic Polymorphic VT,Cardiology,Chronic,Severe,Genetic disorder causing exercise-induced arrhythmias,Children; young adults; family history,Syncope; Sudden death
DIS265,Takotsubo Cardiomyopathy,Cardiology,Acute,Severe,Stress-induced transient LV dysfunction,Postmenopausal women; emotional stress,Heart failure; Arrhythmias; Recovery
DIS266,Pericarditis (Acute),Cardiology,Acute,Moderate,Inflammation of pericardium,Young adults; post-MI; viral,Pericardial effusion; Constriction
DIS267,Constrictive Pericarditis,Cardiology,Chronic,Moderate,Fibrotic thickening of pericardium limiting filling,Prior pericarditis; TB; radiation,Heart failure; Diastolic dysfunction
DIS268,Infective Endocarditis (Subacute),Infectious Diseases,Subacute,Severe,Indolent heart valve infection,Prosthetic valves; prior damage; IVDU,Emboli; Heart failure; Glomerulonephritis
DIS269,Rheumatic Fever,Infectious Diseases,Acute,Moderate,Post-streptococcal autoimmune complication,Children 5-15; developing countries,Carditis; Arthritis; Chorea; Erythema marginatum
DIS270,Lyme Disease (Early Disseminated),Infectious Diseases,Acute,Moderate,Borreliosis with multiple erythema migrans and neurologic symptoms,Tick-exposed individuals; endemic areas,Cranial nerve palsy; Meningitis; Carditis
DIS271,Babesiosis,Infectious Diseases,Acute,Severe,Malaria-like illness from Babesia parasite,Tick-exposed; asplenic; elderly,Hemolytic anemia; Multi-organ failure
DIS272,Ehrlichiosis,Infectious Diseases,Acute,Severe,Tick-borne illness causing fever, cytopenias, hepatitis,Tick-exposed; immunocompromised,Severe sepsis; ARDS
DIS273,Leptospirosis,Infectious Diseases,Acute,Severe,Zoonosis with hepatic and renal involvement,Flood exposure; farmers; sewage workers,Weil's disease: jaundice, renal failure
DIS274,Brucellosis,Infectious Diseases,Chronic,Moderate,Zoonosis with undulant fever,Sheep/goat farmers; unpasteurized dairy,Arthritis; Endocarditis; Neurobrucellosis
DIS275,Tetanus,Infectious Diseases,Acute,Severe,Neurotoxin from Clostridium tetani,Unvaccinated; contaminated wounds,Trismus; Autonomic instability; Respiratory failure
DIS276,Botulism (Foodborne),Infectious Diseases,Acute,Severe,Neurotoxin from Clostridium botulinum,Home-canned foods; infant (honey),Descending paralysis; Respiratory failure
DIS277,Anthrax (Cutaneous),Infectious Diseases,Acute,Moderate,Bacillus anthracis infection via skin,Animal handlers; bioterrorism,Eschar; Systemic dissemination
DIS278,Plague (Bubonic),Infectious Diseases,Acute,Severe,Yersinia pestis infection,Endemic areas; flea bites,Buboes; Septicemic; Pneumonic
DIS279,Tularemia,Infectious Diseases,Acute,Severe,Francisella tularensis infection,Tick bites; rabbits; rodents,Ulceroglandular; Pneumonia; Sepsis
DIS280,Q Fever,Infectious Diseases,Acute,Moderate,Coxiella burnetii infection,Sheep/goat exposure; farmers,Hepatitis; Endocarditis; Chronic fatigue
DIS281,Legionnaires' Disease,Infectious Diseases,Acute,Severe,Legionella pneumophila pneumonia,Exposure to water aerosols; elderly; smokers,Multi-organ failure; Hyponatremia
DIS282,Psittacosis,Infectious Diseases,Acute,Severe,Chlamydia psittaci from birds,Bird owners; pet shop workers,Pneumonia; Splenomegaly; Neurologic
DIS283,Histoplasmosis (Disseminated),Infectious Diseases,Acute,Severe,Fungal infection in endemic areas,Immunocompromised; Ohio River valley,Pneumonia; Hepatosplenomegaly; Adrenal insufficiency
DIS284,Coccidioidomycosis (Valley Fever),Infectious Diseases,Acute,Moderate,Fungal infection in SW US,Immunocompetent; desert exposure,Pneumonia; Dissemination in immunocompromised
DIS285,Blastomycosis,Infectious Diseases,Acute,Severe,Fungal infection in SE US,Outdoor activities; immunocompetent,Pneumonia; Skin lesions; Bone lesions
DIS286,Aspergillosis (Invasive),Infectious Diseases,Acute,Severe,Angioinvasive aspergillus in neutropenic patients,Neutropenic; stem cell transplant,Lung infiltrates; Hemoptysis; CNS
DIS287,Candidemia,Infectious Diseases,Acute,Severe,Bloodstream infection with Candida spp.,ICU patients; central line; broad antibiotics,Septic shock; Endophthalmitis; Deep abscess
DIS288,Cryptococcosis (Meningitis),Infectious Diseases,Acute,Severe,Fungal meningitis in immunocompromised,HIV; transplant; cryptococcal antigen,Meningismus; Increased ICP
DIS289,Mucormycosis (Rhinocerebral),Infectious Diseases,Acute,Severe,Angioinvasive fungal infection,Uncontrolled diabetes; neutropenia,Black eschar; Sinusitis; Cerebral involvement
DIS290,Strongyloidiasis (Hyperinfection),Infectious Diseases,Acute,Severe,Nematode infection in immunocompromised,Immunosuppression; HTLV-1,Bacterial peritonitis; Sepsis; Pulmonary
DIS291,Toxocariasis (Visceral Larva Migrans),Infectious Diseases,Acute,Moderate,Nematode infection from dogs/cats,Children; pica,Visceral inflammation; Eosinophilia
DIS292,Trichinellosis,Infectious Diseases,Acute,Moderate,Nematode infection from undercooked pork,Eating raw/undercooked meat,Myositis; Periorbital edema; Eosinophilia
DIS293,Cysticercosis (Neurocysticercosis),Infectious Diseases,Chronic,Severe,Taenia solium larval infection in CNS,Endemic areas; poor sanitation,Seizures; Hydrocephalus; Focal deficits
DIS294,Echinococcosis (Hydatid Cyst),Infectious Diseases,Chronic,Moderate,Echinococcus larval cysts in liver/lung,Sheep farming areas; dog contact,Cyst rupture; Anaphylaxis
DIS295,Schistosomiasis (Hepatosplenic),Infectious Diseases,Chronic,Severe,Parasitic infection with S. mansoni,Endemic freshwater exposure,Portal hypertension; Hematemesis; Bladder cancer (S. haematobium)
DIS296,Leishmaniasis (Visceral),Infectious Diseases,Chronic,Severe,Parasitic infection of reticuloendothelial system,Endemic areas; poverty,Hepatosplenomegaly; Pancytopenia; Fever
DIS297,African Trypanosomiasis,Infectious Diseases,Acute,Severe,Sleeping sickness from tsetse fly,Sub-Saharan Africa,Neurologic deterioration; Coma
DIS298,Chagas Disease (Chronic),Infectious Diseases,Chronic,Severe,Trypanosoma cruzi infection,Central/South America; vector,Cardiomyopathy; Megaesophagus; Megacolon
DIS299,Relapsing Fever,Infectious Diseases,Acute,Moderate,Borrelia infection from ticks/lice,Endemic areas; homeless,Febrile relapses; Jaundice; Bleeding
DIS300,Rickettsialpox,Infectious Diseases,Acute,Mild,Rickettsia akari from mouse mites,Urban areas; housing,Eschar; Fever; Rash
DIS301,Scrub Typhus,Infectious Diseases,Acute,Severe,Orientia tsutsugamushi from chiggers,Rural Asia; farmers,Eschar; Pneumonitis; Meningoencephalitis
DIS302,Endemic Typhus (Murine),Infectious Diseases,Acute,Moderate,Rickettsia typhi from fleas,Rat-infested areas; urban,Fever; Rash; Hepatitis
DIS303,Epidemic Typhus,Infectious Diseases,Acute,Severe,Rickettsia prowazekii from lice,War; refugee camps; cold,Severe headache; Rash; Multi-organ failure
DIS304,Human Granulocytic Anaplasmosis,Infectious Diseases,Acute,Severe,Anaplasma phagocytophilum from ticks,Tick exposure; endemic,Fever; Cytopenias; Hepatitis
DIS305,Human Monocytic Ehrlichiosis,Infectious Diseases,Acute,Severe,Ehrlichia chaffeensis from ticks,Tick exposure; South Central US,Fever; Cytopenias; Meningitis
DIS306,Colorado Tick Fever,Infectious Diseases,Acute,Moderate,Reovirus from ticks,Rocky Mountains; tick exposure,Biphasic fever; Headache; Myalgia
DIS307,Rift Valley Fever,Infectious Diseases,Acute,Severe,Phlebovirus from mosquitoes,Africa; livestock contact,Hemorrhagic fever; Encephalitis; Retinitis
DIS308,Yellow Fever,Infectious Diseases,Acute,Severe,Flavivirus from mosquitoes in Africa/South America,Unvaccinated travelers; endemic,Hepatic necrosis; Hemorrhage; Renal failure
DIS309,Dengue Fever (Classic),Infectious Diseases,Acute,Moderate,Flavivirus from Aedes mosquitoes,Tropics; rainy season,Fever; Rash; Myalgia; Retro-orbital pain
DIS310,Chikungunya,Infectious Diseases,Acute,Moderate,Alphavirus from Aedes mosquitoes,Tropics; outbreaks,Symmetric polyarthritis; Fever; Rash
DIS311,Zika Virus,Infectious Diseases,Acute,Mild,Flavivirus from Aedes mosquitoes,Tropics; pregnant women,Microcephaly in fetus; Guillain-Barré
DIS312,West Nile Virus (Neuroinvasive),Infectious Diseases,Acute,Severe,Flavivirus from mosquitoes,Endemic areas; elderly,Meningitis; Encephalitis; Flaccid paralysis
DIS313,St. Louis Encephalitis,Infectious Diseases,Acute,Severe,Flavivirus from mosquitoes,Central US; elderly,Encephalitis; Tremors; Seizures
DIS314,Eastern Equine Encephalitis,Infectious Diseases,Acute,Severe,Alphavirus from mosquitoes,Atlantic/Gulf coasts; rare,Severe encephalitis; High mortality
DIS315,Western Equine Encephalitis,Infectious Diseases,Acute,Severe,Alphavirus from mosquitoes,Western US; infants,Meningoencephalitis; Seizures
DIS316,Venezuelan Equine Encephalitis,Infectious Diseases,Acute,Severe,Alphavirus from mosquitoes,Central/South America; epizootic,Encephalitis; Abortion in pregnancy
DIS317,Japanese Encephalitis,Infectious Diseases,Acute,Severe,Flavivirus from mosquitoes in Asia,Endemic; children,Parkinsonism; Seizures; High mortality
DIS318,Measles,Infectious Diseases,Acute,Severe,Paramyxovirus with rash and fever,Unvaccinated children; global,Pneumonia; Encephalitis; Subacute sclerosing panencephalitis
DIS319,Mumps,Infectious Diseases,Acute,Moderate,Paramyxovirus causing parotitis,Unvaccinated children; young adults,Meningitis; Orchitis; Deafness
DIS320,Rubella,Infectious Diseases,Acute,Mild,Togavirus with rash and fever,Unvaccinated; pregnant women,Congenital rubella syndrome; Arthritis
DIS321,Varicella (Chickenpox),Infectious Diseases,Acute,Moderate,Primary VZV infection,Children; unvaccinated,Pneumonia; Cerebellar ataxia; Reye's with aspirin
DIS322,Erythema Infectiosum (Fifth Disease),Infectious Diseases,Acute,Mild,Parvovirus B19,Children; adults,Aplastic crisis in sickle cell; Hydrops fetalis
DIS323,Roseola Infantum,Infectious Diseases,Acute,Mild,HHV-6,Infants 6-24 months,Fever; Rash; Febrile seizures
DIS324,Hand-Foot-and-Mouth Disease,Infectious Diseases,Acute,Mild,Coxsackievirus,Children <5; daycare,Vesicular rash; Dehydration; Rare meningitis
DIS325,Herpangina,Infectious Diseases,Acute,Mild,Coxsackievirus,Children; summer,Fever; Oral ulcers; Sore throat
DIS326,Infectious Mononucleosis,Infectious Diseases,Acute,Moderate,EBV,Adolescents; young adults,Fatigue; Splenomegaly; Airway obstruction
DIS327,Cytomegalovirus (Mononucleosis-like),Infectious Diseases,Acute,Moderate,CMV,Immunocompetent; immunocompromised,Fever; Hepatitis; Pneumonitis in immunocompromised
DIS328,Pertussis (Whooping Cough),Infectious Diseases,Acute,Moderate,Bordetella pertussis,Infants; unvaccinated,Paroxysmal cough; Apnea; Pneumonia
DIS329,Diphtheria,Infectious Diseases,Acute,Severe,Corynebacterium diphtheriae,Unvaccinated; developing,Pseudomembrane; Myocarditis; Neuropathy
DIS330,Tetanus (already listed), - skip
DIS331,Haemophilus influenzae type b (Meningitis),Infectious Diseases,Acute,Severe,Hib meningitis,Unvaccinated children <5,Deafness; Brain damage; Death
DIS332,Streptococcus pneumoniae (Invasive),Infectious Diseases,Acute,Severe,Pneumococcal bacteremia,Children; elderly; asplenia,Sepsis; Meningitis; Pneumonia
DIS333,Neisseria meningitidis (Meningococcemia),Infectious Diseases,Acute,Severe,Meningococcal septicemia,Adolescents; college; military,Purpura fulminans; Shock; DIC
DIS334,Listeriosis,Infectious Diseases,Acute,Severe,Listeria monocytogenes,Pregnant; elderly; immunocompromised,Neonatal sepsis; Meningitis; Abortion
DIS335,Bacterial Vaginosis,Obstetrics and Gynecology,Acute,Mild,Alteration of vaginal flora,Reproductive-age women,Preterm birth; Pelvic inflammatory disease
DIS336,Vulvovaginal Candidiasis,Obstetrics and Gynecology,Acute,Mild,Candida infection of vagina,Women; antibiotic use; diabetes,Recurrent infection; Discomfort
DIS337,Trichomoniasis,Obstetrics and Gynecology,Acute,Moderate,STI caused by Trichomonas vaginalis,Sexually active women,Preterm birth; HIV risk
DIS338,Chlamydia trachomatis (Cervicitis),Obstetrics and Gynecology,Acute,Moderate,STI causing cervicitis,Young sexually active women,PID; Infertility; Ectopic pregnancy
DIS339,Gonorrhea,Obstetrics and Gynecology,Acute,Moderate,STI causing cervicitis/urethritis,Young adults,PID; Disseminated infection
DIS340,HPV Infection (Low-risk),Obstetrics and Gynecology,Chronic,Low,Genital warts due to HPV 6/11,Sexually active,Recurrent warts; Psychosocial
DIS341,HPV Infection (High-risk),Obstetrics and Gynecology,Chronic,High,Cervical dysplasia/cancer risk,Sexually active women,Progress to cervical cancer
DIS342,Endometriosis,Obstetrics and Gynecology,Chronic,Moderate,Ectopic endometrial tissue,Women 25-40; nulliparity,Chronic pain; Infertility; Dyspareunia
